gene_id,symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,condition,biotype
ENSG00000187634.11,SAMD11,133.62788220673477,-0.6503786877231805,0.34776774061909965,0.005498301002456849,0.034940122404740453,hypoxic,protein_coding
ENSG00000188976.10,NOC2L,1244.039925866134,0.7481309412083049,0.25445125433891314,3.0687177715647953e-4,0.003674546431109533,hypoxic,protein_coding
ENSG00000187961.13,KLHL17,31.019458649157983,-0.06459799976159465,0.2426270762196868,0.5797689123543266,0.8134428988121837,hypoxic,protein_coding
ENSG00000187583.10,PLEKHN1,20.02926967661625,0.06558350188438258,0.257653899266985,0.5003273521503441,0.7552084667989727,hypoxic,protein_coding
ENSG00000188290.10,HES4,105.60310139299008,0.01967322096914628,0.21680478236425865,0.8783968831368484,0.9572175544289886,hypoxic,protein_coding
ENSG00000187608.8,ISG15,261.1841484032333,-0.3588728354535387,0.2308146545962353,0.03161390440503436,0.12998341056087487,hypoxic,protein_coding
ENSG00000188157.14,AGRN,1625.0418453947007,-0.03612826623336681,0.1633418981774317,0.7640666679707783,0.9145574820817325,hypoxic,protein_coding
ENSG00000237330.2,RNF223,343.24150945691537,-0.4893710042087175,0.20028220996897003,0.0026248354201868,0.019921041916214532,hypoxic,protein_coding
ENSG00000131591.17,C1orf159,62.18154741803024,-0.16020685810315624,0.27257141934207973,0.23583471800050174,0.49903351123716017,hypoxic,protein_coding
ENSG00000186891.13,TNFRSF18,54.69662136856388,0.045118703942970725,0.22076089599389243,0.7251387297962166,0.8969839776470144,hypoxic,protein_coding
ENSG00000078808.16,SDF4,914.785215158521,-0.42700884436052217,0.1567216015302821,0.0016160093564126852,0.013765518876082157,hypoxic,protein_coding
ENSG00000176022.4,B3GALT6,95.81818854303606,0.23855507342123147,0.26440035916758,0.1319013538966403,0.3462463811739108,hypoxic,protein_coding
ENSG00000160087.20,UBE2J2,331.17905495747044,-0.4259515977803312,0.1585422772783143,0.0017552790317120989,0.014676632746944496,hypoxic,protein_coding
ENSG00000131584.18,ACAP3,102.13095836515775,-0.17075772494963018,0.21962067952729852,0.24906444795663885,0.5146951818450242,hypoxic,protein_coding
ENSG00000169972.11,PUSL1,171.94135034980332,-0.21227378192002042,0.19183524751579265,0.14279200485296645,0.3648586138306467,hypoxic,protein_coding
ENSG00000127054.20,INTS11,328.060334762722,0.3242653036726156,0.17381412983851754,0.02192809495705554,0.0993612980918002,hypoxic,protein_coding
ENSG00000224051.6,CPTP,93.60980904971383,-0.3398362781133788,0.3137654164639948,0.05856386904314512,0.19899713678002195,hypoxic,protein_coding
ENSG00000107404.19,DVL1,230.21842024168822,-0.20923141442846566,0.2175746456606278,0.16650244489897548,0.4016731238941509,hypoxic,protein_coding
ENSG00000175756.13,AURKAIP1,1017.1577344695061,-0.34502006450358597,0.13801235020045252,0.004389650105252078,0.029644692073915926,hypoxic,protein_coding
ENSG00000221978.11,CCNL2,203.81832678669056,0.17866081911731832,0.20405601361261463,0.21873692477090997,0.476928935970059,hypoxic,protein_coding
ENSG00000242485.5,MRPL20,546.866960375175,-0.4797083513926766,0.15950651140650474,5.475351082108552e-4,0.005814965995632802,hypoxic,protein_coding
ENSG00000179403.11,VWA1,110.37010959682168,-0.09774419477069468,0.21106323171824024,0.4855597715972143,0.7427026779351724,hypoxic,protein_coding
ENSG00000215915.9,ATAD3C,6.630110213144088,-0.05044729212230338,0.2683384324903062,0.4031549160382762,0.6743831512331431,hypoxic,protein_coding
ENSG00000160072.19,ATAD3B,171.23541358798263,0.014481987779869228,0.1949747735090879,0.9142166737136469,0.9700019347017929,hypoxic,protein_coding
ENSG00000197785.13,ATAD3A,472.389291892867,0.05157947409135985,0.1438298538535726,0.670281588787603,0.8674954628601961,hypoxic,protein_coding
ENSG00000160075.11,SSU72,716.1850021771344,-0.4116171882689829,0.13102595895817704,4.5018471249715883e-4,0.004986401767802545,hypoxic,protein_coding
ENSG00000228594.3,FNDC10,101.56365066235715,-0.13575680169713134,0.27377773664682575,0.2675550976421912,0.5367882916323088,hypoxic,protein_coding
ENSG00000197530.12,MIB2,56.227979504492076,-0.10898555731247155,0.2681991324251928,0.32339297175160153,0.5961216560399063,hypoxic,protein_coding
ENSG00000248333.8,CDK11B,462.87343464117663,0.421011721741197,0.26038635817255223,0.021016464976072746,0.09651584485937302,hypoxic,protein_coding
ENSG00000189339.11,SLC35E2B,131.1433339647931,-0.5019191244060098,0.31560370296929,0.01512387193558585,0.07605936090415799,hypoxic,protein_coding
ENSG00000008128.22,CDK11A,82.87684817585072,0.9922613080254479,0.4727500784673295,0.0018621219342291589,0.01536699812559147,hypoxic,protein_coding
ENSG00000215790.6,SLC35E2,46.267110389960486,0.14938987783000104,0.28293528009152735,0.2220798804088322,0.480822914958443,hypoxic,protein_coding
ENSG00000008130.15,NADK,251.869694047197,-0.488398689875375,0.19772030068795513,0.0025477029306079477,0.01950877705911807,hypoxic,protein_coding
ENSG00000078369.17,GNB1,1201.6737975947376,-0.49646622779422217,0.0859049043691084,1.6232803400568849e-9,1.8445232339569456e-7,hypoxic,protein_coding
ENSG00000178821.12,TMEM52,14.225844074581182,-0.23165923136827318,0.3951334948934969,0.04256141811404397,0.16012514075830064,hypoxic,protein_coding
ENSG00000142609.17,CFAP74,5.132945806033813,-0.040876344677585795,0.26676679183758467,0.4755359920739431,0.7356006684473458,hypoxic,protein_coding
ENSG00000187730.8,GABRD,9.554440100659162,-0.017685771172803053,0.2567710339566866,0.8220456382531052,0.9379517928075621,hypoxic,protein_coding
ENSG00000067606.16,PRKCZ,139.04274923620738,-0.48995260453295464,0.2254302991764017,0.005193192143969,0.03349907866111643,hypoxic,protein_coding
ENSG00000162585.16,FAAP20,85.88968424254652,-0.4071182460714601,0.38699195687015187,0.038797378240950475,0.1502069571210875,hypoxic,protein_coding
ENSG00000157933.9,SKI,213.71078951009451,-0.2588581548460355,0.24738541988597226,0.11009448613269773,0.3075559714159791,hypoxic,protein_coding
ENSG00000116151.13,MORN1,74.96105095467932,0.03452973952125667,0.211324549067333,0.7897300358822051,0.9250521448277069,hypoxic,protein_coding
ENSG00000157916.19,RER1,473.09722744937727,-0.5062496219828417,0.1400243058093275,5.9500770081058806e-5,9.916184749201278e-4,hypoxic,protein_coding
ENSG00000157911.9,PEX10,113.60484628424369,-0.4924469964775307,0.3059581764491001,0.015090011200865687,0.07592703003628984,hypoxic,protein_coding
ENSG00000149527.17,PLCH2,8.115992090719333,-0.035501196817565965,0.26217394390277904,0.6090371784131641,0.8309667969347397,hypoxic,protein_coding
ENSG00000157881.13,PANK4,106.47319202707952,0.2515272780859134,0.22377490790620727,0.10630593937071309,0.3005158679253161,hypoxic,protein_coding
ENSG00000197921.5,HES5,3.791344137727068,2.830469932881069e-5,0.2687068983199865,0.5902560379528408,0.8208019136239375,hypoxic,protein_coding
ENSG00000157870.14,FAM213B,114.77247933642222,-0.12748640747989648,0.2039779064997586,0.3636433908177139,0.6370318511802626,hypoxic,protein_coding
ENSG00000142611.16,PRDM16,59.466169592782315,0.0068372329398957085,0.21458122722094072,0.9577337058715889,0.9849503156143955,hypoxic,protein_coding
ENSG00000130762.14,ARHGEF16,173.2770757873112,0.42248146871111675,0.2216528416207966,0.012057804937175549,0.06425951866978206,hypoxic,protein_coding
ENSG00000162591.15,MEGF6,26.57281516768796,-0.0647579453405152,0.2565984087100328,0.5122844134437653,0.7648490791180041,hypoxic,protein_coding
ENSG00000158109.14,TPRG1L,234.27114831436657,-0.09224461989405183,0.15393374424782105,0.465930609228772,0.7292130804759926,hypoxic,protein_coding
ENSG00000116213.15,WRAP73,173.50921532967755,-0.0685887096839057,0.19287710211278558,0.6171551072813424,0.836167209056494,hypoxic,protein_coding
ENSG00000078900.14,TP73,50.42175516438771,-0.030135087103035956,0.22123441016308856,0.8257061679505779,0.9386000465036973,hypoxic,protein_coding
ENSG00000130764.9,LRRC47,450.97043325925756,0.2740367181329152,0.1527905027328201,0.03351217703717513,0.13589702138184642,hypoxic,protein_coding
ENSG00000116198.12,CEP104,187.1935231914231,-0.19194425238164065,0.16894951876767,0.16316365123694285,0.39624064698088246,hypoxic,protein_coding
ENSG00000169598.15,DFFB,51.33863575079658,-0.049300649363060535,0.22165382791396193,0.7063791129370838,0.8881115913118751,hypoxic,protein_coding
ENSG00000198912.10,C1orf174,218.939553671623,0.3605833029859851,0.19173078931965468,0.01755132716299081,0.08460145804551697,hypoxic,protein_coding
ENSG00000196581.10,AJAP1,12.177124395150893,0.014937149700966889,0.25628774185134645,0.8491921565251044,0.9471980547202835,hypoxic,protein_coding
ENSG00000131697.17,NPHP4,92.40754873422246,-0.11840574461555636,0.22337791486459999,0.38427461618962633,0.6565112226332918,hypoxic,protein_coding
ENSG00000069424.14,KCNAB2,66.31727327477934,-0.08611350490408158,0.21943890938189234,0.5235798182897606,0.7738647955860107,hypoxic,protein_coding
ENSG00000116254.17,CHD5,98.42281422716086,-0.03847191682724175,0.197466730646417,0.781499710813242,0.9218190498631892,hypoxic,protein_coding
ENSG00000116251.9,RPL22,23914.551231154084,0.0868976559127469,0.09059909504120976,0.3107557215299226,0.5830796442424611,hypoxic,protein_coding
ENSG00000158286.12,RNF207,25.05511741809221,-0.0447793842465736,0.2519084692075092,0.6485239172162567,0.854758344262805,hypoxic,protein_coding
ENSG00000116237.15,ICMT,614.8850202556886,-0.13723287784778732,0.11296009649471943,0.1800312396014575,0.4218242836931673,hypoxic,protein_coding
ENSG00000158292.6,GPR153,71.527239759279,0.10450698598311335,0.2394895967930346,0.42201444849544417,0.6915402151676555,hypoxic,protein_coding
ENSG00000097021.19,ACOT7,765.993954373349,0.21272895105352552,0.13593205420287197,0.07105055242031287,0.228220777939038,hypoxic,protein_coding
ENSG00000069812.11,HES2,18.57197450185817,0.05873916086624631,0.26140503603044074,0.4978111802040351,0.753274673151371,hypoxic,protein_coding
ENSG00000187017.15,ESPN,44.843096353631275,-0.1772603081741489,0.27778549332716007,0.20584997102274993,0.4591429209538317,hypoxic,protein_coding
ENSG00000215788.9,TNFRSF25,10.689532201554897,-0.02472983328684506,0.26467568791023693,0.648653011609861,0.854822610352687,hypoxic,protein_coding
ENSG00000171680.21,PLEKHG5,48.47928924559201,-0.13081326527563056,0.24852437131350294,0.3331648526438177,0.6059542971355936,hypoxic,protein_coding
ENSG00000162408.10,NOL9,398.45606304374746,0.3546184154991078,0.15575820292890685,0.007377936545698078,0.043833305642065105,hypoxic,protein_coding
ENSG00000204859.12,ZBTB48,56.99891919752064,0.2083683079990329,0.25824543712555603,0.17307938495982764,0.41134516984236347,hypoxic,protein_coding
ENSG00000162413.16,KLHL21,102.99032472666612,0.2952376482618627,0.26719395251610045,0.07889334062823432,0.245393930296359,hypoxic,protein_coding
ENSG00000116273.5,PHF13,224.87941203346415,-0.28930629229677285,0.18709311036611342,0.04774849099908226,0.1733389701170884,hypoxic,protein_coding
ENSG00000041988.15,THAP3,57.584491095433805,0.017687896409164,0.20821302885436588,0.8903810260737179,0.9612518299562715,hypoxic,protein_coding
ENSG00000007923.15,DNAJC11,651.9579395705448,0.3408897119840353,0.13636130261072693,0.0044573456834769536,0.029990645967212015,hypoxic,protein_coding
ENSG00000171735.18,CAMTA1,487.1355814806125,0.06304139912794546,0.13248196735163503,0.5840466481236,0.8169308561881651,hypoxic,protein_coding
ENSG00000049245.12,VAMP3,639.971857016611,0.0031821119306695896,0.12287424118448104,0.9754700537207894,0.991234774875816,hypoxic,protein_coding
ENSG00000049246.14,PER3,63.26804687275726,-0.16743444845546132,0.25189686308410403,0.24671893130924966,0.5122083975215482,hypoxic,protein_coding
ENSG00000049249.8,TNFRSF9,3.9746305324163824,-0.014460322351407134,0.2655440927870989,0.7403630140718223,0.9036399470932953,hypoxic,protein_coding
ENSG00000116288.12,PARK7,2870.568708256919,-0.19482937797638095,0.09224588602607704,0.023516029982694225,0.10471690084647806,hypoxic,protein_coding
ENSG00000116285.12,ERRFI1,918.6440692137206,-0.1292710219251945,0.1750952768080861,0.3617384228670365,0.6350353968416677,hypoxic,protein_coding
ENSG00000162426.14,SLC45A1,3.9654078142986595,-0.018693532283452642,0.2635638742393988,0.7362839041638687,0.9019130915008445,hypoxic,protein_coding
ENSG00000142599.17,RERE,262.5148472647913,0.24475087307982366,0.1852377997163822,0.08677362365393142,0.2619815330272634,hypoxic,protein_coding
ENSG00000074800.13,ENO1,10457.89637925328,0.6432354306721835,0.1484007174588279,1.87902173901533e-6,6.106444847452019e-5,hypoxic,protein_coding
ENSG00000180758.11,GPR157,121.51529549722399,-0.03254951540670495,0.20368700304284254,0.8051769809336484,0.931526429028603,hypoxic,protein_coding
ENSG00000049239.12,H6PD,108.56818504458961,0.17781184078896034,0.23870363662461727,0.2305415267474972,0.49206216578485246,hypoxic,protein_coding
ENSG00000171621.13,SPSB1,86.80587605836006,-0.4699563696624397,0.31619576826948426,0.020002995393810574,0.09321154922685058,hypoxic,protein_coding
ENSG00000171612.6,SLC25A33,97.62758097690111,-0.21544938841555913,0.25946934743617056,0.1608584367995791,0.3925786631956084,hypoxic,protein_coding
ENSG00000188807.12,TMEM201,184.93834532391523,-0.07802112221670218,0.18835348545415861,0.5685184686933376,0.8051823060923945,hypoxic,protein_coding
ENSG00000171608.15,PIK3CD,11.603427200604406,-0.05925228333301111,0.2626224808938186,0.4813548595661606,0.739625069795796,hypoxic,protein_coding
ENSG00000171603.16,CLSTN1,1265.1752939067985,-0.047911311440438774,0.11637814786655612,0.6726220852222096,0.8685184569910747,hypoxic,protein_coding
ENSG00000178585.14,CTNNBIP1,154.8938468795116,-0.7914541272106624,0.22638408166804555,4.526429794539033e-5,7.968576135586646e-4,hypoxic,protein_coding
ENSG00000162441.11,LZIC,293.3565440921156,-0.10881905414089664,0.1517159984456448,0.38739567845182016,0.6593476881914345,hypoxic,protein_coding
ENSG00000173614.13,NMNAT1,123.47714790664479,0.2020206398466706,0.23455744902723427,0.18199784228376192,0.4247097134683575,hypoxic,protein_coding
ENSG00000162444.11,RBP7,43.73113760695483,-0.44525210851951635,0.44447589674559745,0.03174609961024403,0.13036198447481812,hypoxic,protein_coding
ENSG00000130939.18,UBE4B,494.8876625815448,0.06548277791016702,0.13227705999833608,0.5687694200820674,0.8053271442064757,hypoxic,protein_coding
ENSG00000054523.17,KIF1B,500.79219026126935,-0.3569838748457302,0.13720887587129732,0.0031601643659158493,0.02296489748737327,hypoxic,protein_coding
ENSG00000142657.20,PGD,1516.2892781684834,0.5569199365977126,0.14548943915806614,2.2024962709921057e-5,4.4623892652557014e-4,hypoxic,protein_coding
ENSG00000251503.8,APITD1-CORT,4.946809620635979,-0.06719473779709144,0.2768196568186825,0.16659327907005003,0.40168781593845426,hypoxic,protein_coding
ENSG00000175279.21,CENPS,120.11373140420405,-0.027785145945135092,0.17419186766607136,0.8287137062246327,0.9395592381734721,hypoxic,protein_coding
ENSG00000160049.11,DFFA,902.7854401148478,0.03783526129759864,0.11809203546352945,0.7275948589059971,0.8983016048505587,hypoxic,protein_coding
ENSG00000142655.12,PEX14,154.53356921213629,0.38119570494072835,0.26398682119188593,0.032217763304101955,0.1316666086338915,hypoxic,protein_coding
ENSG00000130940.14,CASZ1,109.9784189061586,0.018353047371914046,0.2007964780722969,0.8898704017829635,0.9611027937800062,hypoxic,protein_coding
ENSG00000120948.16,TARDBP,2461.213397440381,0.1486974748660484,0.12284985316231362,0.17216284929387932,0.40988632061190405,hypoxic,protein_coding
ENSG00000116649.9,SRM,977.9897820163695,-0.40342235846829866,0.16886871394658914,0.004548521672901118,0.030380138733973966,hypoxic,protein_coding
ENSG00000171824.13,EXOSC10,353.61547721080154,0.3338316478754012,0.1743518595466878,0.019450335596071098,0.09110651573956738,hypoxic,protein_coding
ENSG00000198793.12,MTOR,663.903428525928,0.2793220860926528,0.1251640071077528,0.01174951658788103,0.06288855104933293,hypoxic,protein_coding
ENSG00000120942.13,UBIAD1,145.93077501469529,-0.4950165599957085,0.24001809355472162,0.006494298030647208,0.03976105828936943,hypoxic,protein_coding
ENSG00000204624.7,DISP3,7.345644594318614,0.021465395174625347,0.26034503620010324,0.7537620725399194,0.9101559593481547,hypoxic,protein_coding
ENSG00000116661.9,FBXO2,317.6006348301382,-0.1373465884012707,0.19801964005392042,0.3294784429545628,0.6023509472962073,hypoxic,protein_coding
ENSG00000132879.13,FBXO44,87.73378232058796,-0.33442820271584905,0.2725283564021085,0.05587113151325978,0.1930493916270284,hypoxic,protein_coding
ENSG00000116663.10,FBXO6,52.24467807749397,-0.8437315955255401,0.4130260370492435,0.00265848664160984,0.020110684096610005,hypoxic,protein_coding
ENSG00000116670.14,MAD2L2,280.99071743138245,-0.41973886957951745,0.1638338988545091,0.0027682937528083367,0.02068138169626789,hypoxic,protein_coding
ENSG00000162490.6,DRAXIN,4.0559604977881065,-0.005195324608058595,0.2651709963519412,0.9060848484113874,0.9676433195441873,hypoxic,protein_coding
