ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta,color,direction
TNFA_SIGNALING_VIA_NFKB,1.097862221123983,0.22541966426858512,0.5395743068873263,1.7001056506877315,7.96542912400229e-4,0.017188557583373364,0.6022434295637484,black,up_both
HYPOXIA,1.017214262963729,0.3333333333333333,0.5834679173764593,1.5045756201210654,0.013175419853970126,0.10442059699056429,0.4873613571573363,red,up_both
OXIDATIVE_PHOSPHORYLATION,1.9257287800599237,2.689218133881499e-4,0.012172250500726785,1.4364514783461775,0.014517009825517471,0.10442059699056429,-0.48927730171374617,black,up_both
ADIPOGENESIS,1.184026863173604,0.14285714285714285,0.431077694235589,1.3308998511444088,0.03523643995496488,0.21724722378249026,0.14687298797080484,black,up_both
ESTROGEN_RESPONSE_EARLY,-1.47667559553465,0.007381622428885498,0.1670577707589876,0.9626752981893427,0.5271739130434783,0.583377339670246,2.4393508937239927,black,up_3e_down_3d
APICAL_JUNCTION,-1.3520341171938224,0.0472027972027972,0.32767730136151196,-0.7903162627394155,0.8787878787878788,0.7740129544640824,0.5617178544544069,black,down_both
INFLAMMATORY_RESPONSE,-1.4237187696981577,0.033379779811809666,0.32767730136151196,-0.9726178897338978,0.5111876075731497,0.5805731831163198,0.45110087996425985,black,down_both
HEME_METABOLISM,-1.3471145392682904,0.043327556325823226,0.32767730136151196,-1.2596176970510469,0.10561056105610561,0.2848705923223902,0.08749684221724352,black,down_both
MITOTIC_SPINDLE,-1.33630388466887,0.04785478547854786,0.32767730136151196,-1.2646662209911255,0.08557844690966719,0.2721490725207884,0.07163766367774449,black,down_both
PROTEIN_SECRETION,-1.057017729678261,0.33515482695810567,0.5834679173764593,-1.4657478186601374,0.04569089352344329,0.2464903466396283,-0.40873008898187635,black,down_both
E2F_TARGETS,-0.7982854245580451,0.913477537437604,0.8613932918819511,-1.59213748060584,0.0012410540384250744,0.017853759851027388,-0.7938520560477949,black,down_both
PI3K_AKT_MTOR_SIGNALING,-1.3469503948883161,0.07321428571428572,0.3682121971595656,-1.6059613365043708,0.00927298757124545,0.10005065537396407,-0.25901094161605465,black,down_both
G2M_CHECKPOINT,-1.0905522027734378,0.27181208053691275,0.5592305963199641,-1.7968454287564195,7.279564697164986e-5,0.0031417068693027836,-0.7062932259829817,black,down_both
