gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000228794.8,LINC01128,-0.7413910653209245,1.2425019829455163e-4,down
ENSG00000223764.2,RP11-54O7.3,0.9310353623645486,5.200631978773802e-5,up
ENSG00000116285.12,ERRFI1,-0.679947689463193,1.151198408725367e-12,down
ENSG00000175147.11,TMEM51-AS1,-1.1002060535040121,0.003713732835092291,down
ENSG00000142627.12,EPHA2,-0.6060390982233141,1.8994024870851464e-14,down
ENSG00000037637.10,FBXO42,-0.7883670839238959,6.480971635994408e-9,down
ENSG00000219481.10,NBPF1,-0.5925246744985104,7.671695202285823e-13,down
ENSG00000117122.13,MFAP2,0.6492541151275825,5.440945509845806e-5,up
ENSG00000169991.10,IFFO2,-0.5828592298671552,5.191567398607065e-7,down
ENSG00000169914.5,OTUD3,-0.7766324394097591,6.986661935719952e-6,down
ENSG00000162545.5,CAMK2N1,0.955123920455902,1.470687746622677e-18,up
ENSG00000076864.19,RAP1GAP,0.7280376011976414,9.027356473396906e-5,up
ENSG00000204219.9,TCEA3,0.7211132249742839,0.026992280791125874,up
ENSG00000088280.18,ASAP3,0.8126026751694084,2.0115087699751753e-4,up
ENSG00000011009.10,LYPLA2,0.5225444523638471,6.119841531367178e-5,up
ENSG00000162512.15,SDC3,0.6612550809771701,1.179775578997886e-6,up
ENSG00000142686.7,C1orf216,0.6196338127108778,4.895274672801782e-4,up
ENSG00000092853.13,CLSPN,-0.6577173508295979,1.9253191393107546e-8,down
ENSG00000116885.18,OSCP1,0.757648253281795,0.02366417754093657,up
ENSG00000116922.14,C1orf109,-0.633512174928415,2.134960486478758e-6,down
ENSG00000196449.3,YRDC,-0.5263539852143041,2.9710884033559144e-5,down
ENSG00000188786.9,MTF1,-0.5523805199587684,2.317083730149968e-6,down
ENSG00000183386.9,FHL3,-0.5034023850797265,0.01712487326128725,down
ENSG00000274944.4,RP5-864K19.6,-8.430554076337772,1.7304243615835396e-8,down
