gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000225630.1,MTND2P28,0.5528098453816678,0.0646215149502447,up
ENSG00000228794.8,LINC01128,-0.8864849286366585,8.931699050020526e-5,down
ENSG00000187634.11,SAMD11,0.8571104002514747,4.6498914040406685e-6,up
ENSG00000179403.11,VWA1,0.5723144292861883,0.011410881353057603,up
ENSG00000189339.11,SLC35E2B,-0.5246061205660003,2.871659183854249e-4,down
ENSG00000157870.14,FAM213B,0.5622718140668966,0.0018457753747227379,up
ENSG00000198912.10,C1orf174,0.541224471300241,0.0022605176714195385,up
ENSG00000069424.14,KCNAB2,0.6188334920698352,0.010978091790565392,up
ENSG00000162413.16,KLHL21,0.5085331507841137,0.012620010748354433,up
ENSG00000171612.6,SLC25A33,0.6061614981449432,0.0013053609094415433,up
ENSG00000132879.13,FBXO44,0.7631161706832416,0.0013662667191352543,up
ENSG00000175147.11,TMEM51-AS1,-0.8674982265936654,0.032838279162678084,down
ENSG00000215695.1,RSC1A1,-0.8179835716995731,0.02251924235808236,down
ENSG00000142627.12,EPHA2,-0.6291341151945363,4.2772139860714394e-10,down
ENSG00000219481.10,NBPF1,-1.0684701608549234,1.4903205320620966e-28,down
ENSG00000117122.13,MFAP2,0.7413811604249795,1.7534155092313952e-4,up
ENSG00000162545.5,CAMK2N1,0.8289293874182729,9.523559969200279e-8,up
ENSG00000179546.4,HTR1D,1.64045426071087,0.0045657619062303865,up
ENSG00000204219.9,TCEA3,0.8073097669135816,0.035430697534156036,up
ENSG00000088280.18,ASAP3,0.8930830886509912,7.415372531106885e-4,up
ENSG00000117318.8,ID3,1.1187746401357288,9.224462586096313e-15,up
ENSG00000011007.12,ELOA,0.7091705963139905,3.844785865228196e-10,up
ENSG00000189266.11,PNRC2,-0.6330384735786285,4.84904409297564e-13,down
ENSG00000158055.15,GRHL3,0.6190980933932206,4.527720455961398e-5,up
ENSG00000162430.16,SELENON,0.8789647655564086,5.551445847308959e-16,up
ENSG00000117758.13,STX12,0.5646641858136464,0.002243099450206907,up
ENSG00000162512.15,SDC3,0.649582654444284,1.2651949954052403e-4,up
ENSG00000162517.12,PEF1,0.5880083433845692,5.429290522687859e-5,up
ENSG00000197056.9,ZMYM1,0.6289314465226911,5.657766464957478e-4,up
ENSG00000092853.13,CLSPN,-0.5074399883736415,0.0011715041729217618,down
ENSG00000092847.11,AGO1,0.6115127682513593,6.773602033535828e-7,up
ENSG00000116885.18,OSCP1,0.8911092659072606,0.030268910147758846,up
ENSG00000116922.14,C1orf109,-0.7716944995804825,7.065148289463542e-7,down
ENSG00000197982.13,C1orf122,-0.5087210037288404,0.007783164919656105,down
ENSG00000127603.23,MACF1,-0.6722328225046476,6.812785626011591e-13,down
ENSG00000043514.15,TRIT1,0.5533594288628557,0.008115500319009244,up
ENSG00000127125.8,PPCS,0.6476130187557391,3.0626590789460163e-4,up
ENSG00000196517.11,SLC6A9,-0.5336948161754987,0.005927568456851318,down
ENSG00000132780.16,NASP,0.5679156094958132,5.773255921108672e-7,up
ENSG00000117461.14,PIK3R3,-0.6579635957042661,5.336778071867923e-7,down
ENSG00000185104.19,FAF1,-0.6597545515813956,5.809937288793404e-7,down
ENSG00000123091.4,RNF11,1.209948785274344,7.505254011110377e-20,up
ENSG00000085831.15,TTC39A,-0.7482449016911831,1.6645595426852145e-8,down
ENSG00000162390.17,ACOT11,1.0509803693156134,0.009646342694078143,up
ENSG00000162607.12,USP1,-0.6353613445954238,5.82605340042351e-9,down
ENSG00000116704.7,SLC35D1,1.0993758004230256,6.118500852519754e-10,up
ENSG00000036549.12,ZZZ3,-0.628491073948958,2.072352170717512e-9,down
ENSG00000142871.16,CYR61,-1.0220417886290776,4.84904409297564e-13,down
ENSG00000065243.19,PKN2,-0.6923424365621579,6.738867949383213e-9,down
ENSG00000197147.13,LRRC8B,-0.5488723944393528,6.322325456347054e-5,down
ENSG00000067208.14,EVI5,-0.5056128219900384,0.002602268271945249,down
ENSG00000198691.11,ABCA4,1.473606081284065,0.01297034522482286,up
ENSG00000079335.18,CDC14A,-1.231190899966091,4.053459457431256e-8,down
ENSG00000238122.1,RP11-483I13.2,-0.7243720100480091,0.009773751470363235,down
ENSG00000116299.16,KIAA1324,-0.9199807365317099,9.065599117393573e-7,down
ENSG00000143126.7,CELSR2,-0.6772365344107486,3.1321265877079773e-13,down
ENSG00000134202.10,GSTM3,0.5411125024601852,1.399837809021672e-7,up
ENSG00000121931.15,LRIF1,-0.5642706773887047,1.7608340568413405e-4,down
ENSG00000197852.9,FAM212B,-0.6365623923886756,4.6259107433346e-4,down
ENSG00000116793.15,PHTF1,0.6670267468058872,3.364474572295915e-7,up
ENSG00000213281.4,NRAS,0.5356726683941342,1.7146416414274642e-9,up
ENSG00000183508.4,FAM46C,-1.0864585969310594,1.0171661216843476e-6,down
ENSG00000215784.5,FAM72D,-0.6803412411030099,1.4591707936224987e-6,down
ENSG00000276216.1,CH17-373J23.1,0.6339857076402056,2.027040188293801e-4,up
ENSG00000174827.13,PDZK1,-1.5419531453426085,3.4130810545534323e-13,down
ENSG00000186141.8,POLR3C,-1.5107543685901217,5.521388161637114e-54,down
ENSG00000265972.5,TXNIP,-1.899459159794466,6.281780179505371e-80,down
ENSG00000237188.3,RP11-337C18.8,-0.7220538769502562,0.005683736111981458,down
ENSG00000264207.1,RP11-196G18.23,1.3339333829297937,5.718428842046677e-18,up
ENSG00000014914.20,MTMR11,0.7196531530681756,0.001355497091016828,up
ENSG00000264522.5,OTUD7B,-0.6015480674789389,1.3317862686243652e-8,down
ENSG00000159208.15,CIART,-0.8448236360310422,5.821724045423338e-4,down
ENSG00000163125.15,RPRD2,0.562980844841156,7.807671284677665e-8,up
ENSG00000143457.10,GOLPH3L,0.5383608178683326,1.902514868043614e-5,up
ENSG00000143412.9,ANXA9,-0.6549840378691921,2.7219163320931314e-8,down
ENSG00000143458.11,GABPB2,-0.6225857616978135,3.0160757400846497e-5,down
ENSG00000143398.19,PIP5K1A,-0.5962767017850368,8.579835512661503e-14,down
ENSG00000159450.12,TCHH,-2.1763475242344614,7.42201211375889e-14,down
ENSG00000143569.18,UBAP2L,0.5578487052491722,6.980921624237031e-8,up
ENSG00000160712.12,IL6R,-0.5853808991590292,0.03699456378838194,down
ENSG00000163346.16,PBXIP1,0.5526172401600227,0.02170905408435636,up
ENSG00000116521.10,SCAMP3,-0.5607357178932084,1.4438226620035253e-7,down
ENSG00000160818.16,GPATCH4,-0.7452026393330516,3.195914256345312e-11,down
ENSG00000132688.10,NES,2.609460314026082,6.321240005959094e-8,up
ENSG00000198929.12,NOS1AP,-0.7029399977263109,0.0046536815639792,down
ENSG00000239887.4,C1orf226,-1.299075297102062,9.971806993703469e-15,down
ENSG00000143158.10,MPC2,0.6664211488659043,5.133200100113778e-6,up
ENSG00000117479.12,SLC19A2,-1.0075050243533632,2.317428884221657e-14,down
ENSG00000000460.16,C1orf112,0.5212431690243664,1.446013674701813e-4,up
ENSG00000000457.13,SCYL3,-0.691209307407951,5.797046138628347e-5,down
ENSG00000120334.15,CENPL,-0.7351373816812327,3.3866857009307183e-9,down
ENSG00000152061.23,RABGAP1L,-0.5294125136949238,1.4775918309840037e-4,down
ENSG00000198797.6,BRINP2,-1.2172156043490903,1.1722758770011266e-16,down
ENSG00000116191.17,RALGPS2,-0.5527383617878519,1.6663191343381413e-6,down
ENSG00000116679.15,IVNS1ABP,-0.6360758319121761,6.271837603604612e-14,down
ENSG00000143341.11,HMCN1,-0.6508756889230679,6.157560530263884e-14,down
ENSG00000047410.13,TPR,-0.5302593438367607,4.223975554694775e-8,down
ENSG00000157181.15,C1orf27,-0.6791506604148584,2.765726171494981e-6,down
ENSG00000116833.13,NR5A2,-1.6084018874989514,6.104478133186703e-9,down
ENSG00000174307.6,PHLDA3,-0.6260537367186721,8.845814704096503e-11,down
ENSG00000170075.8,GPR37L1,-0.8843078687434955,2.04674512527665e-6,down
ENSG00000163485.16,ADORA1,0.5947769156016668,0.027991080521715794,up
ENSG00000143845.14,ETNK2,1.4496407192265217,1.022650023931596e-14,up
ENSG00000196550.10,FAM72A,-0.5457149458311271,1.599229094083494e-4,down
ENSG00000266094.7,RASSF5,1.0914512923291348,0.007958586853159266,up
ENSG00000123836.14,PFKFB2,-0.5062454190330173,6.673016002409154e-4,down
ENSG00000123684.12,LPGAT1,0.9335079450783894,1.3917354539867449e-13,up
ENSG00000143476.17,DTL,0.5931892324571226,6.149671931398469e-4,up
ENSG00000143494.15,VASH2,0.9278836375556699,0.013895277608216988,up
ENSG00000118873.15,RAB3GAP2,-0.543373002796492,1.0706017615551702e-4,down
ENSG00000196187.11,TMEM63A,-0.5228407811072461,0.0010035554575834045,down
ENSG00000154342.5,WNT3A,4.526655567248561,0.0064127199858069915,up
ENSG00000168243.10,GNG4,0.5049835697072085,0.017629312291537837,up
ENSG00000174371.16,EXO1,-0.5904654855443023,1.2433362861959208e-4,down
ENSG00000153207.14,AHCTF1,-0.5549042215533743,2.05393651225499e-9,down
ENSG00000115738.9,ID2,0.5253598598604724,0.004067746855903901,up
ENSG00000134313.15,KIDINS220,-0.7638852332960425,1.3865922468173303e-10,down
ENSG00000162975.4,KCNF1,-1.8327788336473714,1.4220591657249008e-19,down
ENSG00000196208.13,GREB1,-1.101667317117199,1.4502630300677683e-49,down
ENSG00000163029.15,SMC6,-0.5969248185014218,8.733134092697432e-6,down
ENSG00000170745.11,KCNS3,1.6641880640385622,2.2824415962591352e-8,up
ENSG00000132031.12,MATN3,0.530166222862695,0.015555822834490824,up
ENSG00000118960.12,HS1BP3,0.8288131624444185,4.006556209410972e-4,up
ENSG00000115137.11,DNAJC27,-0.5462698723488565,0.030728186000827433,down
ENSG00000084733.10,RAB10,-0.5730440521643803,2.348025393003166e-11,down
ENSG00000157833.12,GAREM2,0.5239210970055692,0.03927693360751104,up
ENSG00000157851.16,DPYSL5,0.8853699591272416,1.527530377948244e-7,up
ENSG00000075426.11,FOSL2,-1.2583464454067061,1.947522487682909e-40,down
ENSG00000158089.14,GALNT14,0.580278248966579,0.007960955507699435,up
ENSG00000018699.11,TTC27,-0.6831716927819966,4.9693787367286925e-6,down
ENSG00000138061.11,CYP1B1,-0.6216431123744567,2.547199281282255e-7,down
ENSG00000152518.7,ZFP36L2,0.6259823481589918,8.662915567025889e-16,up
ENSG00000170577.7,SIX2,0.8158700842820087,9.485470922983877e-8,up
ENSG00000171132.13,PRKCE,-0.5961350770205139,0.001383388547148285,down
ENSG00000119729.11,RHOQ,0.5280772215549501,1.9114282811760625e-4,up
ENSG00000243244.5,STON1,1.1445867766435265,3.351910740284108e-5,up
ENSG00000115306.15,SPTBN1,-0.547307278320396,8.743286449609147e-7,down
ENSG00000085760.14,MTIF2,-0.8424587372944085,4.7214639503880644e-11,down
ENSG00000197223.11,C1D,0.8800121328412833,1.2447645742420373e-6,up
ENSG00000059728.10,MXD1,-0.8870374164566754,1.0033281620973525e-14,down
ENSG00000163235.15,TGFA,-0.9060930730824216,2.1476677858176316e-7,down
ENSG00000003137.8,CYP26B1,-2.000029943438991,5.494262494078494e-6,down
ENSG00000144040.12,SFXN5,0.5242112736503975,0.007370048962151802,up
ENSG00000135631.16,RAB11FIP5,0.6066824302126362,0.0042988745564325045,up
ENSG00000284308.1,C2orf81,0.5833696993269402,0.05466873864970087,up
ENSG00000115274.14,INO80B,0.5072418226179862,0.011166902437536557,up
ENSG00000159399.9,HK2,-0.7368151672576543,8.171786490328893e-8,down
ENSG00000270696.1,RP11-342K6.1,0.7220378321917655,0.010338380123688165,up
ENSG00000034510.5,TMSB10,0.5382861956081916,2.938667737946201e-8,up
ENSG00000115525.17,ST3GAL5,0.5387370140239325,0.020954224744431843,up
ENSG00000068615.17,REEP1,0.9065602448279053,0.010843796119245904,up
ENSG00000274286.1,ADRA2B,1.4501092883288966,0.025830977749729176,up
ENSG00000121152.9,NCAPH,0.6757211731599368,2.6403905847155246e-6,up
ENSG00000273045.5,C2orf15,-0.5605475386100143,0.0054035471528973075,down
ENSG00000158417.10,EIF5B,-0.5929688441549069,8.934388843760847e-7,down
ENSG00000144218.18,AFF3,-0.9696923360745825,2.745299299841171e-4,down
ENSG00000115641.18,FHL2,-0.5772217643676361,1.4345553760419329e-5,down
ENSG00000198142.4,SOWAHC,0.7255715067179546,8.931699050020526e-5,up
ENSG00000144063.3,MALL,0.62371056679548,2.8443750980507306e-4,up
ENSG00000188177.13,ZC3H6,-0.5425029320271408,0.007485554575473366,down
ENSG00000240356.6,RPL23AP7,-0.5908164922767215,0.0361723255446022,down
ENSG00000115091.11,ACTR3,-0.509412791881638,8.987908547386813e-8,down
ENSG00000115107.19,STEAP3,0.5579606012064672,2.851200157667988e-4,up
ENSG00000171227.6,TMEM37,0.7841140450687132,0.04204028570786162,up
ENSG00000211460.11,TSN,0.5385228202493682,2.0428351545632044e-7,up
ENSG00000136717.14,BIN1,1.4846521431718005,0.002774252287599326,up
ENSG00000144233.9,AMMECR1L,-0.793529830308332,6.9569467743634444e-12,down
ENSG00000136720.6,HS6ST1,0.5288571845104569,3.184731135987237e-5,up
ENSG00000180178.10,FAR2P1,-1.1845608082352126,0.008709184646645322,down
ENSG00000136002.18,ARHGEF4,0.9507834020560832,7.128484124721073e-4,up
ENSG00000075886.10,TUBA3D,-3.614680062927985,0.002064197460214026,down
ENSG00000150551.10,LYPD1,0.5178223345497953,0.01125835995792084,up
