gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000187634.11,SAMD11,0.9584207112204299,1.0940398274885305e-10,up
ENSG00000272449.1,RP3-395M20.12,-0.5260756071184141,0.06372614316137684,down
ENSG00000078900.14,TP73,0.7779209923784565,1.5324618445102436e-4,up
ENSG00000116285.12,ERRFI1,-0.9822338107816829,1.0260126059024398e-39,down
ENSG00000188807.12,TMEM201,0.5390122029659483,4.49288929742489e-6,up
ENSG00000162496.8,DHRS3,-0.7236641511577689,4.915083159047435e-16,down
ENSG00000219481.10,NBPF1,-0.7038407658466507,9.952235413051461e-28,down
ENSG00000117148.7,ACTL8,0.6659850485452031,0.03624744557116214,up
ENSG00000169991.10,IFFO2,-0.8186176441031949,1.6957346295412378e-12,down
ENSG00000076864.19,RAP1GAP,-1.1254251939164968,6.412046091701313e-16,down
ENSG00000007968.6,E2F2,0.7018718735837322,2.5107599202464174e-7,up
ENSG00000169504.14,CLIC4,-0.7649554551396254,1.3795986489910896e-29,down
ENSG00000117748.9,RPA2,0.5578867656932918,7.885020216413499e-8,up
ENSG00000130766.4,SESN2,-1.1644155700422822,3.915741403838436e-24,down
ENSG00000084636.17,COL16A1,-0.5544340732806817,0.0650658833927576,down
ENSG00000134668.12,SPOCD1,-1.5348369159441144,3.628637181497309e-10,down
ENSG00000160051.11,IQCC,0.8041718890464875,0.0013152303365978868,up
ENSG00000188910.7,GJB3,0.567411403007052,0.0032588090366257286,up
ENSG00000092853.13,CLSPN,0.8939438737471801,4.132796049306594e-17,up
ENSG00000134690.10,CDCA8,0.7682205590350681,6.2782299790262935e-15,up
ENSG00000214114.8,MYCBP,0.6020909823506692,4.2396688109375266e-8,up
ENSG00000127603.23,MACF1,0.635302886376892,1.4823277980809618e-14,up
ENSG00000116990.10,MYCL,-0.8852011024235694,2.4819145830721e-4,down
ENSG00000117394.20,SLC2A1,0.5311542935626793,1.4948962003929686e-9,up
ENSG00000117399.13,CDC20,0.6208531631933575,8.242357326066141e-15,up
ENSG00000066135.12,KDM4A,-0.5930424376113159,7.041775974151992e-9,down
ENSG00000196517.11,SLC6A9,-0.6203000095030538,4.389840113207417e-6,down
ENSG00000230615.6,RP5-1198O20.4,-0.6864001013161021,0.03475438509107,down
ENSG00000126106.13,TMEM53,-0.9860750320477014,0.0010676594109640884,down
ENSG00000142945.12,KIF2C,0.910483991727076,1.6756778080198677e-17,up
ENSG00000186603.5,HPDL,0.5484226617681691,6.589593993355702e-5,up
ENSG00000132780.16,NASP,0.5930875536553816,1.1575880117278968e-13,up
ENSG00000117461.14,PIK3R3,-0.5090616932174186,6.100565759375387e-6,down
ENSG00000085999.11,RAD54L,0.6627014885142296,7.161192586670684e-6,up
ENSG00000142961.14,MOB3C,-0.7210151630632353,0.015712075902283608,down
ENSG00000123080.10,CDKN2C,1.0530153505611097,2.163627236688209e-8,up
ENSG00000085840.12,ORC1,0.8381768486180767,1.4988527713095673e-9,up
ENSG00000081870.11,HSPB11,0.5593846929245397,0.003161890825071155,up
ENSG00000169174.10,PCSK9,-1.8633482239869643,1.1278245916966602e-6,down
