gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000116251.9,RPL22,0.5226249064538547,2.9284748738538434e-5,up
ENSG00000116285.12,ERRFI1,-0.872113878021003,8.405665510119773e-4,down
ENSG00000162496.8,DHRS3,-0.7914506171449869,1.0971860082860698e-5,down
ENSG00000237301.1,RP4-680D5.2,2.309754306764496,0.017411759578017386,up
ENSG00000162458.12,FBLIM1,-0.7245475015386839,0.03588338228824702,down
ENSG00000219481.10,NBPF1,-0.9346198996117291,6.514384006816393e-4,down
ENSG00000159363.17,ATP13A2,-0.6698392101056272,0.019314773851915816,down
ENSG00000169991.10,IFFO2,-0.7782668261056727,0.010042998323674855,down
ENSG00000053372.4,MRTO4,0.7023822611743692,1.6560724393590063e-9,up
ENSG00000270136.5,MINOS1-NBL1,1.0064471994795068,6.407406746889645e-5,up
ENSG00000162545.5,CAMK2N1,-0.7936912419939103,0.018402460998176298,down
ENSG00000187952.9,HS6ST1P1,-0.6234998856925249,0.10816417342013832,down
ENSG00000076864.19,RAP1GAP,-0.6585330370576178,0.06761781521879244,down
ENSG00000117318.8,ID3,-0.8601573221107176,0.0027400114531573403,down
ENSG00000189266.11,PNRC2,0.9631844465403434,1.2589032855253265e-6,up
ENSG00000169504.14,CLIC4,-0.8074450322742251,6.789671948672164e-4,down
ENSG00000117632.22,STMN1,0.6056912245163649,4.617859755349101e-9,up
ENSG00000198830.10,HMGN2,1.009772771708127,5.240604789595383e-7,up
ENSG00000090020.10,SLC9A1,-0.5381239404248462,0.019072391636022295,down
ENSG00000142765.17,SYTL1,-0.5019584570071969,0.16561454725426472,down
ENSG00000130766.4,SESN2,-1.2575743792229381,4.5271768961586186e-5,down
ENSG00000134668.12,SPOCD1,-1.066145088649014,0.07075351711634142,down
ENSG00000092853.13,CLSPN,0.746378953213799,0.002979227166879589,up
ENSG00000116863.10,ADPRHL2,0.645866906991453,0.017559639531660943,up
ENSG00000134690.10,CDCA8,1.0206333558887832,4.882007437923455e-5,up
ENSG00000049089.13,COL9A2,-0.6610050384814198,0.1160394050960319,down
ENSG00000117394.20,SLC2A1,0.6976710100203417,1.1270930923630771e-5,up
ENSG00000142945.12,KIF2C,0.5420970335575737,0.034670724480279545,up
ENSG00000236872.1,RP11-291L19.1,2.6561831198583965,0.007329283478383914,up
ENSG00000132780.16,NASP,0.8821957317382446,1.3231756025249058e-10,up
ENSG00000085999.11,RAD54L,0.6893900810858471,0.051587379624478256,up
ENSG00000162368.13,CMPK1,0.5108802913975823,0.004423797320680214,up
ENSG00000117862.11,TXNDC12,0.5904361814788036,4.870954037839326e-4,up
ENSG00000154222.14,CC2D1B,-0.6882646211215093,0.09140565036398383,down
ENSG00000157193.15,LRP8,-0.6623363422617374,0.01699934099262535,down
ENSG00000162390.17,ACOT11,-1.397012837134369,0.038697915600937396,down
ENSG00000243725.6,TTC4,0.643056757759784,0.02979205699994649,up
ENSG00000234496.2,MRPS21P1,-0.8319554704101213,1.523603822569006e-4,down
ENSG00000116717.11,GADD45A,-1.0617196799406428,0.029608206259575113,down
ENSG00000024526.16,DEPDC1,0.5564220532153707,0.1017368304411016,up
ENSG00000142871.16,CYR61,0.5475202238934206,0.028375618836142428,up
ENSG00000171492.14,LRRC8D,-0.5762864615872221,0.03754646703997882,down
ENSG00000023909.9,GCLM,-0.5910481185171408,0.06447494535610501,down
ENSG00000244716.3,RP11-20O24.4,0.5023012181265396,0.013042662229779333,up
ENSG00000116299.16,KIAA1324,0.5198312481658119,0.15489631132808074,up
ENSG00000031698.12,SARS,-0.787918434456627,2.8432756428960072e-8,down
ENSG00000134222.16,PSRC1,0.5458511455336298,0.02917255914220058,up
ENSG00000184371.13,CSF1,-0.9592413048528818,0.010188592965562985,down
ENSG00000118655.4,DCLRE1B,0.5103305061130926,0.00541180511981873,up
ENSG00000143061.17,IGSF3,0.542269482174297,1.2152588732075035e-4,up
ENSG00000092621.11,PHGDH,-1.5674408522093033,4.57119065966107e-51,down
ENSG00000171943.11,SRGAP2C,-1.3425473088235995,0.05819826329034287,down
ENSG00000273213.1,RP5-998N21.10,-0.541227598248978,0.12365404081402565,down
ENSG00000276216.1,CH17-373J23.1,-0.8037841948082115,0.06510039978916077,down
ENSG00000265972.5,TXNIP,1.74124611640365,1.9534766832577366e-10,up
ENSG00000244211.3,PDZK1P1,1.9543886908838708,0.01205235899425698,up
ENSG00000270882.2,HIST2H4A,0.6299588671067398,6.693040465067486e-11,up
ENSG00000203811.1,HIST2H3C,0.6433345929682449,9.149540142161995e-8,up
ENSG00000203812.2,HIST2H2AA3,0.6859588468807665,5.361337534895312e-10,up
ENSG00000143401.14,ANP32E,0.8529413009274829,7.040051167120044e-10,up
ENSG00000159208.15,CIART,-0.6625096618444937,0.08153565310935688,down
ENSG00000143416.20,SELENBP1,0.5040810029307322,0.15661196569590566,up
ENSG00000159445.12,THEM4,-0.7284742260908053,0.0446966904889254,down
ENSG00000189334.8,S100A14,-0.6702128039319639,1.659656154949986e-5,down
ENSG00000189171.14,S100A13,0.5750397346938236,4.088955147004106e-6,up
ENSG00000143554.13,SLC27A3,0.5371530387950904,0.03157806786677651,up
ENSG00000179085.7,DPM3,-0.6179303299779694,0.004703793969162083,down
ENSG00000185499.16,MUC1,-1.119536393722139,0.0012344182781720136,down
ENSG00000160766.14,GBAP1,-0.6308430716371534,0.09460096745720022,down
ENSG00000116584.17,ARHGEF2,-0.8012997118054921,0.013298605959119534,down
ENSG00000160783.19,PMF1,0.7221478908359042,8.836189080809611e-5,up
ENSG00000198715.11,GLMP,-0.7060583405488855,0.10298078836264737,down
ENSG00000163468.14,CCT3,0.5053073792926084,2.76677252445567e-8,up
ENSG00000143321.18,HDGF,0.5133619437421175,1.2424165123829474e-5,up
ENSG00000235082.2,SUMO1P3,-9.732665197345355,2.082271249303263e-9,down
ENSG00000132196.13,HSD17B7,-1.0268029019008844,0.04009017509065319,down
ENSG00000197965.11,MPZL1,-0.5863925328358193,0.004703793969162083,down
ENSG00000143153.12,ATP1B1,0.5286325140236051,2.251162772331842e-5,up
ENSG00000234604.2,RP1-206D15.5,-0.6551421159579685,0.08153565310935688,down
ENSG00000135835.11,KIAA1614,-1.5437802277466974,0.026579452711198666,down
ENSG00000135821.17,GLUL,0.7782493406782925,4.14325554535749e-6,up
ENSG00000198860.11,TSEN15,-0.6437721716996172,0.0011643199816824892,down
ENSG00000233410.1,LINC01222,-0.8006593114746907,0.09595819747655858,down
ENSG00000118193.11,KIF14,0.6616547490740291,0.007031779432625091,up
ENSG00000223396.2,RP11-134G8.5,-1.667041888836303,1.0882114472862154e-5,down
ENSG00000163435.15,ELF3,-0.7583401162766313,2.53668896786307e-11,down
ENSG00000159388.5,BTG2,-0.5648060946732152,0.1392959915354564,down
ENSG00000117280.12,RAB29,-0.603584636124389,0.03315909818130763,down
ENSG00000123836.14,PFKFB2,-0.5812456164202398,0.028375618836142428,down
ENSG00000196352.14,CD55,-1.0218672866899616,1.7681534016557402e-10,down
ENSG00000082512.14,TRAF5,1.5187378235534505,0.01659945241971416,up
ENSG00000117650.12,NEK2,0.8198897823316367,9.564062313019192e-4,up
ENSG00000143476.17,DTL,0.5134986400791813,0.07001900594994762,up
ENSG00000162772.16,ATF3,-0.8643258219534866,0.04293594960074354,down
ENSG00000228247.1,UBBP2,1.2342627112765185,0.004464082867296622,up
ENSG00000092969.11,TGFB2,1.5433610864081417,6.910902622152974e-9,up
ENSG00000136628.17,EPRS,-0.6035514224368557,0.0016439525403255642,down
ENSG00000143753.12,DEGS1,0.9052041737655931,9.643056514545852e-4,up
ENSG00000135763.9,URB2,0.5123981372507054,0.022438573948274487,up
ENSG00000168264.10,IRF2BP2,-0.5700623366890579,0.0017081420755340993,down
ENSG00000151353.14,TMEM18,0.5513476535950854,0.00554564847925139,up
ENSG00000134308.13,YWHAQ,0.5250561122893604,1.0974884401357432e-6,up
ENSG00000171848.13,RRM2,0.9598796934684558,3.194879352173635e-16,up
ENSG00000115241.10,PPM1G,0.5927105632256455,6.992415704686059e-6,up
ENSG00000223951.1,AL133244.1,8.064184620523909,1.9062055732570237e-6,up
ENSG00000138061.11,CYP1B1,-4.218848680137852,8.570031754312298e-110,down
ENSG00000115875.18,SRSF7,0.655320011389051,6.171692857551132e-8,up
ENSG00000115306.15,SPTBN1,-1.052589962679634,2.468031897636322e-6,down
ENSG00000143947.13,RPS27A,0.6895610480798253,3.217111444933818e-5,up
ENSG00000115380.19,EFEMP1,0.8173024934972202,0.02530447747256357,up
ENSG00000115902.10,SLC1A4,-0.5785471995350856,0.13476785879388722,down
ENSG00000239779.6,WBP1,-0.5270434844406785,0.1017368304411016,down
ENSG00000159399.9,HK2,-1.1362942093484976,6.476093498851482e-14,down
ENSG00000270532.1,PEBP1P2,0.9839140942163707,1.0250645084195669e-5,up
ENSG00000225933.1,AC133965.1,13.044664134381843,3.353997725628463e-10,up
ENSG00000283196.1,RP4-614C10.2,-0.9528674651685901,0.04463921933955075,down
ENSG00000272913.1,RP11-440D17.3,-2.0392346219047486,0.0014610580081103354,down
ENSG00000121152.9,NCAPH,0.7062702155622261,0.005051969846825769,up
ENSG00000231822.1,AC019097.7,0.9877619329490751,0.07578787145091773,up
ENSG00000115641.18,FHL2,-0.5132031547490861,0.16126194345561295,down
ENSG00000282304.1,RP11-1223D19.3,-0.9051023621648976,6.333978446413976e-4,down
ENSG00000230596.3,GPAA1P2,1.0244545255608835,0.08543308403704473,up
ENSG00000153093.18,ACOXL,-0.5537412886493627,0.14776770731838082,down
ENSG00000125611.15,CHCHD5,-1.0294114806886414,0.0022734332100262473,down
ENSG00000136682.14,CBWD2,0.82330530323723,0.0013117402565299525,up
ENSG00000125629.14,INSIG2,-0.5336753122267617,0.08153208246423495,down
ENSG00000235640.1,AC092646.1,0.7000182799102713,0.11835693825301298,up
ENSG00000163161.12,ERCC3,0.633803568885057,0.002964537575686968,up
ENSG00000144231.10,POLR2D,0.5482185166279187,0.014068424856997226,up
ENSG00000173272.15,MZT2A,-0.7401575433561134,0.0026708554106915482,down
ENSG00000115919.14,KYNU,1.1548833133379917,4.697946197901549e-15,up
ENSG00000198526.7,PABPC1P2,-1.4678665343945942,0.0135860585077643,down
ENSG00000162989.4,KCNJ3,0.9429711125667521,0.058732955812777446,up
ENSG00000227682.2,ATP5A1P2,1.1514353018071826,0.01667011827522889,up
ENSG00000230562.3,FAM133DP,0.70156988798734,0.0027080597059763044,up
ENSG00000152253.8,SPC25,0.9841264006487219,1.2410396010435984e-4,up
ENSG00000144369.12,FAM171B,-0.5497524209365011,0.14169157251621378,down
ENSG00000115541.10,HSPE1,0.6371681751310422,3.5800471187782032e-9,up
ENSG00000138356.13,AOX1,1.617341349933594,2.6557954248135167e-4,up
ENSG00000155760.2,FZD7,-0.6018975536230357,0.13243917612145256,down
ENSG00000116030.16,SUMO1,0.6373138817111296,0.01779057381145517,up
ENSG00000264275.1,RN7SL753P,6.715415093010288,0.002030640673707974,up
ENSG00000138413.13,IDH1,-1.0987391227705428,1.2910178657679353e-16,down
ENSG00000115461.4,IGFBP5,1.6103052680696777,7.373307567123299e-23,up
ENSG00000123983.13,ACSL3,0.5245101142824113,0.005558827912668326,up
ENSG00000152056.16,AP1S3,0.641306361372989,0.055889307877923455,up
ENSG00000187514.16,PTMA,0.7385128389447533,2.3875780544501595e-7,up
ENSG00000167165.18,UGT1A6,-0.511040607460165,0.13881321409380878,down
ENSG00000130147.15,SH3BP4,-0.6041901415899612,0.08211513311172923,down
ENSG00000144476.5,ACKR3,0.5385362355093875,0.007282001964821289,up
ENSG00000134121.9,CHL1,-1.3397685664117387,0.039195201590595016,down
ENSG00000235338.1,DUSP5P2,2.4802549971642462,0.026174375626030685,up
ENSG00000241553.12,ARPC4,0.5526763817388533,2.9680552098017112e-6,up
ENSG00000186162.10,CIDECP,-1.3393691530622434,7.731915691394235e-4,down
ENSG00000132170.19,PPARG,-0.5672881377003189,0.026272163875818374,down
ENSG00000170860.3,LSM3,0.8760371833282556,1.1963433827929035e-29,up
ENSG00000129810.14,SGO1,0.851763384543533,0.012386412702839895,up
ENSG00000132967.9,HMGB1P5,0.8222582325985548,7.2121818473093126e-9,up
ENSG00000114812.12,VIPR1,-1.3219384660742766,0.03614148342466006,down
ENSG00000172053.17,QARS,0.5319525780588304,0.0024463801054303833,up
