gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000228794.8,LINC01128,-0.6053540318150147,0.0012024730606855676,down
ENSG00000237330.2,RNF223,-0.5158908027503158,1.5956766148868617e-4,down
ENSG00000160087.20,UBE2J2,-0.6059050317246634,1.2276270656177776e-7,down
ENSG00000116285.12,ERRFI1,-0.5486456290945406,9.744813085392307e-9,down
ENSG00000162444.11,RBP7,-0.6841635972833902,0.02201272602637541,down
ENSG00000160049.11,DFFA,-0.6736297843334798,9.022628596403665e-12,down
ENSG00000116691.10,MIIP,-0.5002953131492857,0.012630372073183238,down
ENSG00000142627.12,EPHA2,-0.5742237885953915,9.226431695610301e-10,down
ENSG00000037637.10,FBXO42,-0.8112555325200638,1.0866340051782944e-8,down
ENSG00000117122.13,MFAP2,0.5947596747075761,4.843655605147996e-4,up
ENSG00000142619.4,PADI3,0.796692196799359,0.00333922893295297,up
ENSG00000162545.5,CAMK2N1,1.1712596898977616,7.657521227751838e-24,up
ENSG00000076864.19,RAP1GAP,1.0697153056964412,2.277668183265802e-7,up
ENSG00000162552.14,WNT4,-0.5748335970909986,0.021550085495875147,down
ENSG00000179546.4,HTR1D,0.5858784180762301,0.06226487135156473,up
ENSG00000088280.18,ASAP3,0.7297148787403018,0.0019018193473998365,up
ENSG00000133226.16,SRRM1,0.6410221177199154,1.3563201404882714e-7,up
ENSG00000158062.20,UBXN11,-0.7480758738290891,0.003429633350460986,down
ENSG00000181773.6,GPR3,0.6027957394331398,0.03840697214117276,up
ENSG00000126709.14,IFI6,-0.6926135214995134,0.04153467448924998,down
ENSG00000197989.13,SNHG12,-0.6897902733005794,5.0185922013000204e-6,down
ENSG00000120656.11,TAF12,-0.6328358614673588,1.486930126661949e-4,down
ENSG00000162512.15,SDC3,0.8856846366049196,1.4464186639366837e-9,up
ENSG00000254553.1,RP1-27O5.3,6.78459566245656,1.9622689990340847e-5,up
ENSG00000116525.13,TRIM62,0.6938613205882908,2.803128485686883e-4,up
ENSG00000142686.7,C1orf216,0.627420528793528,6.619817784722414e-4,up
ENSG00000196182.10,STK40,0.605158135676544,4.647791592458225e-6,up
ENSG00000163873.9,GRIK3,-0.5377479173210435,0.019005620451744594,down
ENSG00000163874.10,ZC3H12A,-0.53257033496141,5.557668951911495e-4,down
ENSG00000185090.14,MANEAL,-0.5192751974477021,3.372128241111233e-4,down
ENSG00000196449.3,YRDC,-0.655529385337135,2.5118698552846416e-5,down
ENSG00000183386.9,FHL3,-0.6285920908279315,0.006136744682590486,down
ENSG00000116985.11,BMP8B,0.9242975361689524,1.6930366197928648e-4,up
