gene_id,symbol,log2FoldChange_in_KD,padj,direction,log2FoldChange_for_signature
ENSG00000225630.1,MTND2P28,0.9453733338761182,0.033557155393024354,down,-0.9453733338761182
ENSG00000178585.14,CTNNBIP1,-0.556069139878989,0.07229469340527896,up,0.556069139878989
ENSG00000162517.12,PEF1,0.5540008746889636,0.012506080026989698,down,-0.5540008746889636
ENSG00000184007.18,PTP4A2,-0.7675860740901221,2.4239916225416165e-6,up,0.7675860740901221
ENSG00000175130.6,MARCKSL1,-0.5215095597892913,0.0169225146457913,up,0.5215095597892913
ENSG00000254553.1,RP1-27O5.3,6.82929052682169,1.4996213167646496e-4,down,-6.82929052682169
ENSG00000090621.13,PABPC4,0.6747288204567867,7.3447003354435e-4,down,-0.6747288204567867
ENSG00000117410.13,ATP6V0B,-0.5222093608961507,0.06392497639600227,up,0.5222093608961507
ENSG00000142945.12,KIF2C,-0.5328789310456074,0.06460712797444597,up,0.5328789310456074
ENSG00000142961.14,MOB3C,-1.5654908126869973,0.13345668799035246,up,1.5654908126869973
ENSG00000162377.5,COA7,0.5270845935611472,0.005544755248063182,down,-0.5270845935611472
ENSG00000142892.14,PIGK,0.5132427177691486,0.03482842379614474,down,-0.5132427177691486
ENSG00000162642.13,C1orf52,0.5274274249967209,0.07901430143347149,down,-0.5274274249967209
ENSG00000197147.13,LRRC8B,0.6105408049664943,0.06667311116573128,down,-0.6105408049664943
ENSG00000156875.13,MFSD14A,0.9772900342940306,0.017720511443872444,down,-0.9772900342940306
ENSG00000197780.9,TAF13,0.8267039487117398,1.813918230898156e-5,down,-0.8267039487117398
ENSG00000198162.12,MAN1A2,-0.5051648556246617,0.005711203470500312,up,0.5051648556246617
ENSG00000270231.3,NBPF8,-2.7839709144072318,0.04115892985129418,up,2.7839709144072318
ENSG00000273136.6,NBPF26,-0.861880959019108,0.018541097649117308,up,0.861880959019108
ENSG00000272419.6,RP11-403I13.8,0.6228034961347955,0.0272901129563274,down,-0.6228034961347955
ENSG00000269713.7,NBPF9,-0.5956351216643324,0.011609831646251775,up,0.5956351216643324
ENSG00000203812.2,HIST2H2AA3,14.339443067692855,3.2526045475662325e-16,down,-14.339443067692855
ENSG00000220323.3,HIST2H2BD,-0.8687723894596586,0.00380872921721226,up,0.8687723894596586
ENSG00000163156.11,SCNM1,0.5917401786057758,0.0028568634023655236,down,-0.5917401786057758
ENSG00000159450.12,TCHH,1.0435301385337197,0.012334338282729252,down,-1.0435301385337197
ENSG00000143553.10,SNAPIN,0.6076929662929671,0.01739356679359836,down,-0.6076929662929671
ENSG00000143543.14,JTB,-0.6382290284020764,2.9760671811558437e-5,up,0.6382290284020764
