gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000225630.1,MTND2P28,-0.9637044685313053,0.0022596470192749085,down
ENSG00000248527.1,MTATP6P1,-1.168791715698075,1.274469889859569e-4,down
ENSG00000178585.14,CTNNBIP1,0.620444455755672,0.033778315264984156,up
ENSG00000160049.11,DFFA,-0.5135439668753179,8.842303794716448e-6,down
ENSG00000116661.9,FBXO2,0.5749513020866153,0.002483873307132455,up
ENSG00000177674.15,AGTRAP,0.8742366975801896,0.039063190351894615,up
ENSG00000142634.12,EFHD2,0.6987229099978456,4.968084876269169e-4,up
ENSG00000142627.12,EPHA2,-0.579160759390482,3.691008620662288e-5,down
ENSG00000233421.4,LINC01783,0.9113933484855077,0.06171687666533193,up
ENSG00000142619.4,PADI3,0.8499311852396206,0.0372800818105293,up
ENSG00000173436.13,MINOS1,-0.5357160245434849,7.28822183230212e-4,down
ENSG00000169914.5,OTUD3,-0.6956358562331388,0.012818819164693246,down
ENSG00000162545.5,CAMK2N1,1.531593703111084,9.240095405239752e-8,up
ENSG00000076864.19,RAP1GAP,0.7280716387151273,0.03219236185094944,up
ENSG00000142798.17,HSPG2,-0.5388665574969522,0.0027368723367101693,down
ENSG00000158055.15,GRHL3,0.5988891046138094,1.1663197090078719e-4,up
ENSG00000133226.16,SRRM1,0.7057146095482261,0.004434684935115875,up
ENSG00000090020.10,SLC9A1,0.6117158133149554,0.004550070421437901,up
ENSG00000162512.15,SDC3,0.6158244496765711,0.05563254833125631,up
ENSG00000142910.15,TINAGL1,2.237632381790533,0.013861691731476139,up
ENSG00000184007.18,PTP4A2,0.6177085900831848,1.2298340218662719e-5,up
ENSG00000084623.11,EIF3I,-0.5120030673047646,8.605573626856684e-8,down
ENSG00000175130.6,MARCKSL1,1.0736386794191592,3.4800134894146174e-9,up
ENSG00000054118.13,THRAP3,0.5602906417922598,0.015655950136332468,up
ENSG00000196449.3,YRDC,-0.8721153958988266,3.024174043495513e-4,down
ENSG00000183682.7,BMP8A,0.5278697927166015,0.11248112759660729,up
ENSG00000090621.13,PABPC4,-0.6715665550417576,2.5859200264132204e-4,down
ENSG00000179862.6,CITED4,-0.5498320659855565,0.10033777142359732,down
ENSG00000253313.5,C1orf210,0.9012743891982367,0.0416503405781935,up
ENSG00000142945.12,KIF2C,0.8484917067699226,8.084654570594356e-4,up
ENSG00000142937.11,RPS8,-0.7808043216252288,6.569360288000323e-7,down
ENSG00000278139.1,RP4-533D7.6,-0.560491921423209,0.05635990759377164,down
ENSG00000142961.14,MOB3C,1.8298148551826663,0.05832192132083334,up
ENSG00000117859.18,OSBPL9,0.5550881898607352,0.001559630228231129,up
ENSG00000169213.6,RAB3B,0.8947949847111718,0.02315863646899613,up
ENSG00000085840.12,ORC1,0.5787021186192006,0.05422332181654033,up
