gene_id,symbol,log2FoldChange_in_KD,padj,direction
ENSG00000228794.8,LINC01128,-0.7097073152395011,2.1776043641772322e-4,down
ENSG00000187634.11,SAMD11,0.7742295230629546,2.8970913747587663e-4,up
ENSG00000187583.10,PLEKHN1,1.0286446549590245,0.013311001550560428,up
ENSG00000187608.8,ISG15,-0.6668056510286422,3.0790487242986155e-4,down
ENSG00000157881.13,PANK4,0.6728761447587011,0.004479099262821465,up
ENSG00000069424.14,KCNAB2,0.5622380123957991,0.015805785146149373,up
ENSG00000162413.16,KLHL21,0.5202116097223801,0.005294209996019221,up
ENSG00000234546.3,LINC01759,0.7371803018578502,0.056279141130456956,up
ENSG00000171621.13,SPSB1,0.5184697459027288,0.002504383963805307,up
ENSG00000162444.11,RBP7,-0.8036480402081924,0.014511977923866257,down
ENSG00000132879.13,FBXO44,0.8575708279353087,9.718832358590948e-5,up
ENSG00000175147.11,TMEM51-AS1,-0.5125716643554433,0.08238514022584606,down
ENSG00000219481.10,NBPF1,-1.0683295488941416,7.082410309098279e-21,down
ENSG00000117122.13,MFAP2,0.7709232144342248,2.2232244911938365e-5,up
ENSG00000142619.4,PADI3,0.6263594821284346,0.01681631219905969,up
ENSG00000162545.5,CAMK2N1,1.0947513009681789,1.3507314237220406e-17,up
ENSG00000158828.7,PINK1,0.5984028685271736,4.4506783979937446e-4,up
ENSG00000076864.19,RAP1GAP,0.5889786231554552,0.00360979847194771,up
ENSG00000179546.4,HTR1D,2.3874828211278776,2.2770240067775684e-5,up
ENSG00000117318.8,ID3,1.0953605720390274,9.177336816570918e-14,up
ENSG00000011007.12,ELOA,0.7095136421871178,5.099187857903557e-10,up
ENSG00000189266.11,PNRC2,-0.5880050760468026,1.1722832384840292e-7,down
ENSG00000158055.15,GRHL3,0.7196618074707298,4.8699821117595524e-5,up
ENSG00000162430.16,SELENON,0.8863971915213241,2.12284682414422e-12,up
ENSG00000197245.5,FAM110D,-1.1015753771680423,0.009981103145947698,down
ENSG00000158246.7,FAM46B,-0.6253801968521596,0.032505883757447646,down
ENSG00000181773.6,GPR3,1.1061117094974502,0.0030916534351143007,up
ENSG00000126709.14,IFI6,-2.809045407793844,1.1423339571540179e-20,down
ENSG00000117758.13,STX12,0.6733833690511764,1.996858478395411e-5,up
ENSG00000242125.3,SNHG3,-0.558792757196871,3.354544605202659e-4,down
ENSG00000197989.13,SNHG12,-0.5552453501693504,0.0010175296619685773,down
ENSG00000060656.19,PTPRU,0.5253766324398376,3.858279974662618e-4,up
ENSG00000162512.15,SDC3,0.7395332067618214,5.600846116862667e-6,up
ENSG00000160050.14,CCDC28B,0.6011830634648181,0.06441335834198703,up
ENSG00000175130.6,MARCKSL1,0.5604703763756106,1.0362970692220619e-5,up
ENSG00000254553.1,RP1-27O5.3,7.0308044660312135,1.1097560773627963e-5,up
ENSG00000188910.7,GJB3,0.5004179711394807,0.009554214456997952,up
ENSG00000197056.9,ZMYM1,0.5563115255159773,0.0019881709816855627,up
ENSG00000092847.11,AGO1,0.648505270656714,1.080955155828374e-7,up
ENSG00000163873.9,GRIK3,-0.6174496314817414,0.008811699065967975,down
ENSG00000116922.14,C1orf109,-0.6203374633635161,1.1222339090266625e-4,down
ENSG00000127603.23,MACF1,-0.6987976763237367,1.3280222567139864e-5,down
ENSG00000116990.10,MYCL,0.5803663291119129,0.03632195954974484,up
ENSG00000117000.8,RLF,0.5269092306762229,7.311960526617992e-4,up
ENSG00000049089.13,COL9A2,0.8581341867580304,0.02752304567507878,up
ENSG00000127125.8,PPCS,0.8842897594280325,1.0127758493617169e-7,up
ENSG00000236200.5,KDM4A-AS1,-0.5044417518565361,0.05982915812290399,down
ENSG00000186603.5,HPDL,0.6249393053786009,0.001437890156662441,up
ENSG00000132780.16,NASP,0.705791276005712,3.839097179077794e-7,up
ENSG00000185104.19,FAF1,-0.588427598740857,1.375036642953908e-5,down
ENSG00000123091.4,RNF11,0.9987314427080889,4.617721805391331e-16,up
ENSG00000085831.15,TTC39A,-0.7944481972183136,7.0983344532888635e-9,down
ENSG00000227070.1,RP11-191G24.1,-2.0709958305753404,3.250254152679414e-4,down
ENSG00000177606.6,JUN,-0.57137283278605,4.206931165287453e-6,down
ENSG00000162607.12,USP1,-0.608741019115575,4.642206591802617e-7,down
ENSG00000162433.14,AK4,0.6151291635156041,2.633956453579701e-7,up
ENSG00000116704.7,SLC35D1,1.2876746325442183,1.2280442884936573e-13,up
ENSG00000036549.12,ZZZ3,-0.5104322822107817,1.366608590208265e-4,down
ENSG00000117114.19,ADGRL2,-1.597978632655838,2.30292131129811e-4,down
ENSG00000142871.16,CYR61,-1.248525163369844,3.1431585745789406e-18,down
ENSG00000065243.19,PKN2,-0.5405988179784598,1.6569930347050906e-4,down
ENSG00000117505.12,DR1,-0.580011546624392,6.5467234286228515e-6,down
ENSG00000137936.16,BCAR3,0.7397740714667147,9.453994549286414e-6,up
ENSG00000198691.11,ABCA4,1.9789242577291282,1.4687069426984144e-4,up
ENSG00000283761.1,RP4-714D9.5,1.340207541589743,1.2191791652894783e-4,up
ENSG00000079335.18,CDC14A,-1.18229439165665,1.910728327683136e-10,down
ENSG00000241361.8,SLC25A24P1,-0.5419872174191148,0.03498665490295623,down
ENSG00000116299.16,KIAA1324,-1.0792356209812932,2.994639261075874e-12,down
ENSG00000143126.7,CELSR2,-0.5641491854119826,1.7559147163319592e-5,down
ENSG00000121931.15,LRIF1,-0.673628947952171,4.810085297208313e-7,down
ENSG00000197852.9,FAM212B,-0.8006133438931994,1.73946368561308e-6,down
ENSG00000227811.2,FAM212B-AS1,-0.7012068850662462,0.058431508425877965,down
ENSG00000116793.15,PHTF1,0.7545388315712119,1.9258027139232528e-7,up
ENSG00000134198.9,TSPAN2,-1.398367006423939,0.016997431362838763,down
ENSG00000183508.4,FAM46C,-0.8009121087926464,3.4221245874265817e-4,down
ENSG00000092621.11,PHGDH,0.5566517185950056,1.6695496534891512e-4,up
ENSG00000263513.5,FAM72C,-1.0381466982027514,0.01848605598993365,down
ENSG00000215784.5,FAM72D,-0.8793725991590762,4.454932942792851e-9,down
ENSG00000174827.13,PDZK1,-1.373968184078687,2.0379289628309662e-13,down
ENSG00000186141.8,POLR3C,-1.298313319357364,8.613582563106215e-36,down
ENSG00000272031.2,ANKRD34A,0.7965050264614644,0.028320267348462217,up
ENSG00000265972.5,TXNIP,-2.1168086717492964,3.563202301951224e-85,down
ENSG00000213240.8,RP11-458D21.5,0.5482468916728045,0.05471012169870079,up
ENSG00000237188.3,RP11-337C18.8,-0.8136325768298996,0.0010205839967173265,down
ENSG00000116128.10,BCL9,0.5476814506796719,1.0937448360820683e-5,up
ENSG00000264207.1,RP11-196G18.23,1.0805694618619337,2.4207549135465386e-10,up
ENSG00000264522.5,OTUD7B,-0.5979293992092151,6.667757513521954e-8,down
ENSG00000159208.15,CIART,-0.5165529873720547,0.020031839674149076,down
ENSG00000163125.15,RPRD2,0.7300430828135623,2.2576960033006375e-11,up
ENSG00000143457.10,GOLPH3L,0.5845484137215521,1.0411861682719072e-4,up
ENSG00000143412.9,ANXA9,-0.5390304729659597,2.256908411805898e-5,down
ENSG00000143458.11,GABPB2,-0.7334814227342681,3.199737365742891e-6,down
ENSG00000143398.19,PIP5K1A,-0.5551979476808108,1.515238005318183e-7,down
ENSG00000143373.17,ZNF687,0.630045295631613,4.382933744967784e-6,up
ENSG00000159450.12,TCHH,-2.6035529194730858,1.257509319522525e-24,down
ENSG00000272030.1,RP1-178F15.4,-1.3842589316018241,0.020028653669786543,down
ENSG00000143552.9,NUP210L,-0.5177371915976969,0.0016133787642352774,down
ENSG00000143569.18,UBAP2L,0.6311412478955876,1.5409881012726947e-8,up
