gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000225630.1,MTND2P28,-0.7450816475691726,0.0418794500435377,down
ENSG00000248527.1,MTATP6P1,-1.4102230210756015,1.8623360638887277e-11,down
ENSG00000132879.13,FBXO44,0.5062710577060003,0.10872484883311345,up
ENSG00000142627.12,EPHA2,-0.5915648181893697,1.381903675668572e-7,down
ENSG00000159363.17,ATP13A2,-0.5123066083955374,0.0351314878324753,down
ENSG00000173436.13,MINOS1,-0.658272564150168,3.839967249165748e-6,down
ENSG00000270136.5,MINOS1-NBL1,2.63677079849033,4.508514935568507e-22,up
ENSG00000162545.5,CAMK2N1,1.2793861509834978,4.482875506346791e-5,up
ENSG00000076864.19,RAP1GAP,0.645542864944095,0.05076363544319131,up
ENSG00000142798.17,HSPG2,-0.5818145504102962,0.004067240059246677,down
ENSG00000117318.8,ID3,0.5571522726813736,0.013283678869580642,up
ENSG00000011007.12,ELOA,0.6485542642665971,0.00427396180866097,up
ENSG00000158055.15,GRHL3,0.6805730716688113,1.3910723682594803e-4,up
ENSG00000133226.16,SRRM1,0.7738820790973255,2.585250180916432e-4,up
ENSG00000255054.3,RP1-317E23.6,1.1645758643796427,0.03174202540232092,up
ENSG00000130695.14,CEP85,-0.6359570097913052,0.015087424730197021,down
ENSG00000090020.10,SLC9A1,0.633114399767153,0.005111887805542148,up
ENSG00000126709.14,IFI6,-2.472551674974521,1.1171172147995604e-9,down
ENSG00000117758.13,STX12,0.6550545431846326,0.0023192462583514063,up
ENSG00000142910.15,TINAGL1,2.4489947054961085,0.009287799075141268,up
ENSG00000134668.12,SPOCD1,-0.5496658900624286,0.1065039697084737,down
ENSG00000184007.18,PTP4A2,0.625598787768425,5.484370380270002e-7,up
ENSG00000175130.6,MARCKSL1,0.9403987024497216,1.242916142936422e-9,up
ENSG00000092847.11,AGO1,0.7917771336271955,0.0038115345845162176,up
ENSG00000054116.11,TRAPPC3,0.566976912990221,0.0013142505769527418,up
ENSG00000163873.9,GRIK3,-1.806916241565055,0.006009566966559815,down
ENSG00000116922.14,C1orf109,-0.5265617492750259,0.04824150343265265,down
ENSG00000127603.23,MACF1,-1.1176836746456467,7.217372671530245e-14,down
ENSG00000090621.13,PABPC4,-0.6036498529588031,0.0012879683235232325,down
ENSG00000117408.10,IPO13,-0.653438179828106,0.016733070395714717,down
ENSG00000142945.12,KIF2C,0.6107266817128194,0.009625272559371355,up
ENSG00000142937.11,RPS8,-0.7901704831403494,8.494947059809933e-8,down
ENSG00000132780.16,NASP,0.7517957200458312,2.0986203588385628e-22,up
ENSG00000123091.4,RNF11,0.7885557920991693,0.051621309147300586,up
ENSG00000117862.11,TXNDC12,0.5319932245207684,0.0014496983290443702,up
ENSG00000185839.3,RP4-592A1.2,9.969003764826057,6.723444413872933e-10,up
ENSG00000177606.6,JUN,-1.2661450445033449,4.162342749695034e-16,down
ENSG00000116704.7,SLC35D1,1.3081353332571761,8.957211950895513e-5,up
ENSG00000172380.5,GNG12,0.5170794662940887,0.06828642582098886,up
ENSG00000116761.11,CTH,1.089349359995362,0.05967544463483079,up
ENSG00000172260.14,NEGR1,1.502936515071923,0.01978067434050055,up
ENSG00000137955.15,RABGGTB,-0.7379202914727515,3.364938012190156e-6,down
ENSG00000219201.4,RP11-181C21.4,0.8191127853425921,5.8165197570342556e-5,up
ENSG00000162613.16,FUBP1,0.577526529455735,7.889686723180037e-5,up
ENSG00000142871.16,CYR61,-1.3532942028920927,7.178809455400335e-17,down
ENSG00000197147.13,LRRC8B,-1.38168618428061,3.7699329887921765e-4,down
ENSG00000067334.13,DNTTIP2,0.6971995417013744,0.013296127652785,up
ENSG00000079335.18,CDC14A,-0.9179541276034829,0.027185631625447116,down
ENSG00000238118.1,SLC25A24P2,-0.9748583087354125,1.4541357908908875e-4,down
ENSG00000197780.9,TAF13,-0.8483269456731735,2.2265344194750074e-10,down
ENSG00000116299.16,KIAA1324,-1.3085644761629387,7.092637482309777e-8,down
ENSG00000143126.7,CELSR2,-0.5352004426900796,1.6682219310706492e-9,down
ENSG00000168765.16,GSTM4,0.5189407877958595,0.013009623115640162,up
ENSG00000121931.15,LRIF1,-0.5436295973809828,0.011346219156791945,down
ENSG00000116793.15,PHTF1,0.8829783367838951,0.0018622169532149246,up
ENSG00000116774.11,OLFML3,-0.7338740876277869,0.07751625914964777,down
ENSG00000213281.4,NRAS,0.5085121416082937,3.5631712064138974e-8,up
ENSG00000116830.11,TTF2,0.7326556640484011,0.006008198973421494,up
ENSG00000183508.4,FAM46C,-0.9956572163479613,0.0266175483887444,down
ENSG00000092621.11,PHGDH,0.7489832474979233,3.643748657603629e-7,up
ENSG00000196369.10,SRGAP2B,0.6418521442066125,6.484818643296795e-5,up
ENSG00000174827.13,PDZK1,-0.6791092607880721,0.051020124214231626,down
ENSG00000186141.8,POLR3C,-1.1142198578990707,1.9546018453660437e-29,down
ENSG00000265972.5,TXNIP,-2.3508391703864393,1.1764671853276184e-63,down
ENSG00000116128.10,BCL9,0.5026802166689872,0.03396002878168995,up
ENSG00000244211.3,PDZK1P1,-0.9542143438928581,0.0015982160899444572,down
ENSG00000263956.6,NBPF11,-0.6180400982573329,0.017809682349841045,down
ENSG00000274020.2,LINC01138,0.8962605847712681,0.027949570640145287,up
ENSG00000264207.1,RP11-196G18.23,1.2459403188267089,3.425007641500072e-5,up
ENSG00000143401.14,ANP32E,0.7314942423773452,8.170607944433332e-10,up
ENSG00000117360.12,PRPF3,0.5120171168572587,0.0012599745917957505,up
ENSG00000163125.15,RPRD2,0.8683493255942958,3.1352547941490584e-7,up
ENSG00000143457.10,GOLPH3L,0.7576618447016821,1.5524517911302053e-5,up
ENSG00000163156.11,SCNM1,-0.5802711598841349,4.844958164088969e-5,down
ENSG00000143373.17,ZNF687,0.6761388843661407,1.4230346258464855e-4,up
ENSG00000143375.14,CGN,-1.0056947574682078,6.654435037485614e-11,down
ENSG00000197747.8,S100A10,0.5792732006315114,2.0766329337288965e-6,up
ENSG00000159450.12,TCHH,-3.7998273436880297,4.6375327351381734e-33,down
ENSG00000160685.13,ZBTB7B,-0.507401608476465,0.022007253866141874,down
ENSG00000160753.15,RUSC1,-0.5978785292154787,0.0038070400700089897,down
ENSG00000198952.8,SMG5,0.5353060917714116,0.002188534252167407,up
ENSG00000132688.10,NES,2.157994070339526,3.7141495927645447e-6,up
ENSG00000143320.8,CRABP2,0.5142592384457618,2.024913144627407e-4,up
ENSG00000143321.18,HDGF,0.8407619205105926,4.873061376169393e-21,up
ENSG00000162736.15,NCSTN,-0.7710443168864134,4.062707878240888e-8,down
ENSG00000213080.3,RP11-312J18.5,7.664586839636252,2.923478762635189e-5,up
ENSG00000198929.12,NOS1AP,-0.9448346474717204,1.105791858328688e-5,down
ENSG00000239887.4,C1orf226,-1.496693082183285,4.5599235277941474e-4,down
ENSG00000117143.13,UAP1,0.5698595924980481,0.01130200880886778,up
ENSG00000213070.3,HMGB3P6,1.960815342214232,3.8425428585541956e-14,up
ENSG00000185630.18,PBX1,0.6403715203332826,1.2158173038850788e-6,up
ENSG00000143158.10,MPC2,0.5798536192016762,0.059517550583434296,up
ENSG00000143164.15,DCAF6,0.6978727975251667,3.7006646544626904e-4,up
ENSG00000117475.13,BLZF1,-0.6120443765220829,0.0034490129940415613,down
ENSG00000117479.12,SLC19A2,-0.6331350387916269,0.03396002878168995,down
ENSG00000234604.2,RP1-206D15.5,-1.7922642488672251,5.971212792790657e-26,down
ENSG00000094975.13,SUCO,0.7153615903752948,8.237043738264781e-5,up
ENSG00000120334.15,CENPL,-0.7188994813760162,7.884105100660815e-4,down
ENSG00000234741.7,GAS5,-0.5545867120543971,6.595103587175929e-4,down
ENSG00000198797.6,BRINP2,-0.5799673845414646,0.021320598910650326,down
ENSG00000169905.12,TOR1AIP2,0.611875689947032,7.500753164216892e-6,up
ENSG00000135821.17,GLUL,0.5512697953525263,1.9864355050740495e-5,up
ENSG00000143341.11,HMCN1,-0.5374363268293724,1.6780283525328942e-5,down
ENSG00000116833.13,NR5A2,-1.2227710286326012,0.005056164991470351,down
ENSG00000118193.11,KIF14,0.8631159780741254,6.794427841217782e-5,up
ENSG00000223396.2,RP11-134G8.5,-2.033593540686587,3.66856431972468e-6,down
ENSG00000163435.15,ELF3,-0.5988809296196582,1.403580807678198e-8,down
ENSG00000077157.21,PPP1R12B,0.5005137525384387,0.12183643576223738,up
ENSG00000234996.4,RP11-480I12.9,-1.5372132091977428,0.008474347907483193,down
ENSG00000163444.11,TMEM183A,0.6861728310033838,1.1119858492234429e-4,up
ENSG00000058668.14,ATP2B4,0.6082103521968839,0.0037582064890050015,up
ENSG00000143845.14,ETNK2,0.9049902775435305,0.05664252958250869,up
ENSG00000133059.16,DSTYK,0.5144910195479309,0.028622832424466726,up
ENSG00000163545.8,NUAK2,-0.5789422896530351,0.06746992928357243,down
ENSG00000117280.12,RAB29,0.7195653278040359,0.0013899030667686946,up
ENSG00000224114.1,RP11-343H5.4,-2.2499959417868225,6.41350431587138e-46,down
ENSG00000123684.12,LPGAT1,0.9074788063392398,1.9519569079841793e-4,up
ENSG00000143493.12,INTS7,-0.5424294678484084,0.03204908030962932,down
ENSG00000228247.1,UBBP2,2.960379123653473,2.3613903480482335e-7,up
ENSG00000168159.11,RNF187,0.567776220967532,7.537850119649668e-6,up
ENSG00000186197.13,EDARADD,1.1575142672518766,0.019654559517821597,up
ENSG00000115738.9,ID2,0.5054741827685818,0.07391610786391158,up
ENSG00000134308.13,YWHAQ,0.721957742683061,1.0377506991242572e-12,up
ENSG00000115758.12,ODC1,0.6632661102954867,4.1137058171459683e-4,up
ENSG00000143870.12,PDIA6,0.5135873062089428,3.034137681876447e-10,up
ENSG00000162975.4,KCNF1,-0.5018417248326309,0.11342492064725189,down
ENSG00000196208.13,GREB1,-1.1093478307065212,5.142139737558471e-27,down
ENSG00000143878.9,RHOB,-0.6094359528328726,2.9889870088290545e-5,down
ENSG00000084731.14,KIF3C,0.63542305329535,0.034387507004712554,up
ENSG00000145835.6,CDKN2AIPNLP2,0.5764290798663054,0.09577227529829076,up
ENSG00000157851.16,DPYSL5,0.7724500420043168,0.007156792231169519,up
ENSG00000075426.11,FOSL2,-0.5659001610533224,4.753844185294933e-4,down
ENSG00000172954.13,LCLAT1,0.5178383456072895,0.004018624424007674,up
ENSG00000013016.15,EHD3,0.7125516578888835,0.05822965598868165,up
ENSG00000115816.14,CEBPZ,0.5715127201114818,0.012011306171696299,up
ENSG00000138061.11,CYP1B1,-0.7159663852124081,1.385981646837858e-4,down
ENSG00000143891.16,GALM,0.6490459740052129,0.056879247910444464,up
ENSG00000163214.20,DHX57,1.1561761891620346,2.6441175105047635e-5,up
ENSG00000170577.7,SIX2,1.3193990313061816,6.036450474073964e-4,up
ENSG00000095002.13,MSH2,0.7970419211904566,2.3249541006113576e-5,up
ENSG00000116062.14,MSH6,0.5689470391675844,0.011351849873648893,up
ENSG00000068781.21,STON1-GTF2A1L,0.984788827947958,0.06011948258154066,up
ENSG00000115306.15,SPTBN1,-1.403876890050062,3.827273067915425e-15,down
ENSG00000173163.10,COMMD1,-0.5007282497492132,0.025917940579318843,down
ENSG00000169604.19,ANTXR1,0.5100941978562511,0.033508408425044295,up
ENSG00000003137.8,CYP26B1,-2.0535623850848523,0.002297774566782182,down
ENSG00000163017.13,ACTG2,-1.1569058815246411,6.964947689676125e-4,down
