gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000187634.11,SAMD11,0.8918233428973298,8.311492136745211e-10,up
ENSG00000078900.14,TP73,0.7653794164518326,6.978217261038161e-5,up
ENSG00000116273.5,PHF13,0.8427236671568041,1.829450400130591e-9,up
ENSG00000116285.12,ERRFI1,-1.1827489069153074,7.611166893435012e-44,down
ENSG00000132879.13,FBXO44,-0.5624844207946764,0.0011690164033348262,down
ENSG00000162496.8,DHRS3,-0.7386213792555373,6.2324216300246804e-15,down
ENSG00000219481.10,NBPF1,-0.6067426997791666,3.360705859556522e-14,down
ENSG00000169991.10,IFFO2,-0.6204774211422605,7.559008795979593e-7,down
ENSG00000189410.11,SH2D5,-0.607432910828055,0.020908417704953837,down
ENSG00000076864.19,RAP1GAP,-1.0843920468745583,2.705039141871991e-16,down
ENSG00000261326.2,LINC01355,0.8318232822435156,0.028605221133566172,up
ENSG00000007968.6,E2F2,0.5995153763754605,1.9869951284600492e-5,up
ENSG00000169504.14,CLIC4,-0.625168672900431,1.65566225712236e-15,down
ENSG00000142765.17,SYTL1,-0.5014368112972619,0.0027394163537588253,down
ENSG00000117748.9,RPA2,0.6176090460688124,3.608863769461253e-7,up
ENSG00000130766.4,SESN2,-1.288436244043826,4.382414693125556e-31,down
ENSG00000168528.11,SERINC2,-0.5213797372073549,0.008173563205785788,down
ENSG00000134668.12,SPOCD1,-1.818913514595371,1.554229063323178e-15,down
ENSG00000160051.11,IQCC,0.5814383012825889,0.012550669896984456,up
ENSG00000134684.10,YARS,-0.5312468900882769,2.3966123906377418e-11,down
ENSG00000092853.13,CLSPN,0.7287671647457057,3.1249733694050973e-6,up
ENSG00000134690.10,CDCA8,0.914715768022761,3.061170855576847e-14,up
ENSG00000214114.8,MYCBP,0.5072004705906222,2.353185183980124e-6,up
ENSG00000274944.4,RP5-864K19.6,-4.716758735201082,1.2716474253968047e-6,down
ENSG00000127603.23,MACF1,0.9314095715730855,3.3094209353872987e-18,up
ENSG00000117394.20,SLC2A1,0.5190043625219746,1.7213431396811749e-10,up
ENSG00000234694.1,RP1-92O14.3,-0.8399160151818708,0.03929801046756279,down
ENSG00000117399.13,CDC20,0.6843678571913178,3.143643763573003e-14,up
ENSG00000066135.12,KDM4A,-0.5606529031195756,3.285992771917891e-7,down
ENSG00000196517.11,SLC6A9,-0.6212205203030529,4.4758003736202984e-7,down
ENSG00000230615.6,RP5-1198O20.4,-0.6815306616130776,0.04077594960971379,down
ENSG00000126106.13,TMEM53,-0.6051993861758508,0.022583951244552244,down
ENSG00000142945.12,KIF2C,0.8709334138106393,3.837054369298431e-14,up
ENSG00000186603.5,HPDL,0.7438080268980941,1.981729022432668e-8,up
ENSG00000132780.16,NASP,0.5705852969326535,3.256460791686996e-7,up
ENSG00000085999.11,RAD54L,0.5076784697794168,5.527263776333438e-4,up
ENSG00000142961.14,MOB3C,-0.7487924405801196,0.013681175665395486,down
ENSG00000123080.10,CDKN2C,0.9078317459519758,1.7901511179743611e-6,up
ENSG00000085840.12,ORC1,0.7299197125437012,7.335419693272779e-7,up
ENSG00000162390.17,ACOT11,-0.6118814650332323,0.004670113765544776,down
ENSG00000169174.10,PCSK9,-1.1851974116298865,0.0013028944194888076,down
ENSG00000184292.6,TACSTD2,-0.5196893485230796,4.1921818709355773e-13,down
ENSG00000162604.12,TM2D1,-0.5573065779682582,0.0021200189208285458,down
ENSG00000116717.11,GADD45A,-1.242027546503105,2.296185544070364e-9,down
ENSG00000024526.16,DEPDC1,0.6447431776670705,1.4896607377786832e-9,up
ENSG00000097046.12,CDC7,0.6949550604309939,7.038963248068925e-7,up
