gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000158292.6,GPR153,-1.5004674028000367,0.007513575691239228,down
ENSG00000282881.1,RP11-49P4.7,-2.8523869080848154,4.7384706755037285e-4,down
ENSG00000154222.14,CC2D1B,-0.9691993348879878,0.1025228474757979,down
ENSG00000172260.14,NEGR1,-3.676022729147653,1.6186081956999592e-7,down
ENSG00000137962.12,ARHGAP29,-1.4426950408889634,0.9998272739941986,down
ENSG00000143158.10,MPC2,-1.4426950408889634,0.9998272739941986,down
ENSG00000196550.10,FAM72A,2.438870486544879,0.08359655034635194,up
ENSG00000065600.12,TMEM206,1.513836669742956,0.19732571506678834,up
ENSG00000239899.3,RN7SL674P,12.116372169125968,8.752614653851273e-15,up
ENSG00000223658.7,C1GALT1C1L,-1.8318547855971399,3.141239834092921e-5,down
ENSG00000135638.13,EMX1,-3.266325272430036,9.121881038614875e-5,down
ENSG00000163017.13,ACTG2,-1.6391666049578477,0.17943597767000205,down
ENSG00000115282.19,TTC31,-1.4426950408889634,0.9998272739941986,down
ENSG00000233221.6,AC133785.1,-1.4778109122026055,0.08174502559192748,down
ENSG00000144228.8,SPOPL,-1.4426950408889634,0.9998272739941986,down
ENSG00000135999.11,EPC2,-1.4426950408889634,0.9998272739941986,down
ENSG00000163539.16,CLASP2,-1.316387384017239,3.85245486629221e-4,down
ENSG00000170248.13,PDCD6IP,-1.4426950408889634,0.9998272739941986,down
ENSG00000078081.7,LAMP3,-2.4890710821940494,6.753215935160774e-6,down
ENSG00000163923.9,RPL39L,1.3644434107155126,0.19732571506678834,up
ENSG00000185621.11,LMLN,-1.4426950408889634,0.9998272739941986,down
ENSG00000174227.15,PIGG,-1.5201754015740496,0.001565495809219033,down
ENSG00000151612.15,ZNF827,-2.650126450769513,3.820122895065771e-5,down
ENSG00000071205.11,ARHGAP10,-1.4426950408889634,0.9998272739941986,down
ENSG00000121211.7,MND1,-1.4426950408889634,0.9998272739941986,down
ENSG00000215158.9,RP11-1023L17.1,1.695442503020343,0.25750783365587004,up
ENSG00000145725.19,PPIP5K2,-1.4426950408889634,0.9998272739941986,down
ENSG00000134982.16,APC,-1.4426950408889634,0.9998272739941986,down
ENSG00000164611.12,PTTG1,0.6142840214653069,0.0953905687811086,up
ENSG00000146066.2,HIGD2A,-1.4426950408889634,0.9998272739941986,down
ENSG00000216863.9,LY86-AS1,-3.007378890826527,1.7510705052782655e-4,down
ENSG00000204623.9,ZNRD1ASP,-3.0640730855315548,1.5588328145737302e-7,down
ENSG00000112742.9,TTK,0.7750051407720622,0.20872307566451326,up
ENSG00000112365.4,ZBTB24,-1.4426950408889634,0.9998272739941986,down
ENSG00000173214.5,MFSD4B,-1.4426950408889634,0.9998272739941986,down
ENSG00000106012.17,IQCE,-1.3175458804321043,6.195459732904202e-5,down
ENSG00000105877.17,DNAH11,-2.269495289921425,0.008755517250808491,down
ENSG00000122550.17,KLHL7,-2.3739993337323506,9.73173377648967e-12,down
ENSG00000005020.12,SKAP2,-1.4426950408889634,0.9998272739941986,down
ENSG00000267368.1,UPK3BL,8.994765767959898,4.306554376464237e-8,up
ENSG00000002726.20,AOC1,-1.3431552235408493,0.018583840728009598,down
ENSG00000181652.19,ATG9B,-3.335537871686555,0.10139858060015906,down
ENSG00000197892.12,KIF13B,-1.4426950408889634,0.9998272739941986,down
ENSG00000253190.3,AC084082.3,1.101994620989709,1.9541655219320067e-8,up
ENSG00000178860.8,MSC,-1.726884204070351,1.3108774324021495e-4,down
ENSG00000175895.3,PLEKHF2,-0.6131503404986028,0.04870499192080359,down
ENSG00000156787.16,TBC1D31,-1.4426950408889634,0.9998272739941986,down
ENSG00000066827.15,ZFAT,-1.174939824377944,0.03607624766023771,down
ENSG00000261655.1,CTD-3064M3.3,-2.3616718354973845,0.010788194564328061,down
ENSG00000155621.14,C9orf85,-1.4426950408889634,0.9998272739941986,down
ENSG00000041982.15,TNC,-2.2586976826038767,4.603496348367665e-6,down
ENSG00000148429.14,USP6NL,-1.4426950408889634,0.9998272739941986,down
ENSG00000165983.14,PTER,-1.4426950408889634,0.9998272739941986,down
ENSG00000107789.15,MINPP1,-1.4426950408889634,0.9998272739941986,down
ENSG00000130600.17,H19,0.729777131963109,0.10586456458092794,up
ENSG00000184014.7,DENND5A,-1.1843583847404726,0.00639268982141135,down
ENSG00000135363.11,LMO2,-1.7547211403933134,8.106867274962611e-4,down
ENSG00000175274.18,TP53I11,-1.4426950408889634,0.9998272739941986,down
ENSG00000234964.4,FABP5P7,10.44523788731074,1.281974712663217e-10,up
ENSG00000176973.7,FAM89B,-2.6422931328498787,0.047041091367333636,down
ENSG00000160613.12,PCSK7,-1.2041573406344344,0.0061009130862052785,down
ENSG00000111788.10,RP11-22B23.1,-1.5603802035198615,2.2399394564568567e-4,down
ENSG00000123411.14,IKZF4,-1.4957388578716302,3.3310121512726977e-4,down
ENSG00000111110.11,PPM1H,-1.6136452590125365,6.753215935160774e-6,down
ENSG00000214222.2,TUBBP2,3.8314665982203926,1.1202334139031009e-4,up
ENSG00000258314.3,CTD-2314B22.1,1.9672763363754284,0.12372095640102052,up
ENSG00000257285.5,RP11-298I3.1,1.5789700121204586,0.14219202880280196,up
ENSG00000259321.1,RP11-468E2.5,-2.4578757827183617,1.3008652052315264e-4,down
ENSG00000259136.1,RP11-108M12.2,2.6487035497652722,0.1829711682776121,up
ENSG00000053254.15,FOXN3,-1.8032965862776311,0.10060782660273167,down
ENSG00000184887.13,BTBD6,-1.4426950408889634,0.9998272739941986,down
ENSG00000103653.16,CSK,-1.4426950408889634,0.9998272739941986,down
ENSG00000259511.2,UBE2Q2L,-1.138265934280063,0.09406268570920902,down
ENSG00000278456.1,RP11-66B24.9,-3.629144160007663,3.984495565190426e-6,down
ENSG00000167962.13,ZNF598,-1.4426950408889634,0.9998272739941986,down
ENSG00000169682.17,SPNS1,-1.6791470081190476,0.1383481316299449,down
ENSG00000183604.14,SMG1P5,2.514726040241151,0.1120195099216303,up
ENSG00000166473.17,PKD1L2,-3.521742180158919,6.685722530921067e-10,down
ENSG00000178977.3,LINC00324,-1.3429925768163506,0.0032577556222758096,down
ENSG00000108602.17,ALDH3A1,-1.4954548031136525,0.002344601401449317,down
ENSG00000226549.3,SCDP1,3.102807722938765,0.0953905687811086,up
ENSG00000087095.12,NLK,-1.4426950408889634,0.9998272739941986,down
ENSG00000265794.5,RP11-227G15.3,5.07361349155462,0.04232605334200876,up
ENSG00000141294.9,LRRC46,3.676019139092058,0.018583840728009598,up
ENSG00000183684.7,ALYREF,0.5403692748607076,0.18074863422622808,up
ENSG00000174448.8,STARD6,-1.7279240748522393,8.94901570326567e-4,down
ENSG00000141655.16,TNFRSF11A,-3.2153188512492332,0.004220454875004324,down
ENSG00000071564.14,TCF3,-1.08672563525697,0.002344601401449317,down
ENSG00000099840.13,IZUMO4,-2.0602135127259174,1.336961787878706e-7,down
ENSG00000104885.17,DOT1L,1.969959671303007,0.14751794160557258,up
ENSG00000174837.14,ADGRE1,-2.2037546118179083,8.373162779235247e-7,down
ENSG00000130167.13,TSPAN16,-1.7373224908510132,8.94901570326567e-4,down
ENSG00000196081.9,ZNF724,1.8448397436010122,0.10072263342947109,up
ENSG00000268101.2,CYP2G2P,-2.539113017268248,6.195459732904202e-5,down
ENSG00000198046.11,ZNF667,-3.265922401885669,1.580445683189412e-5,down
ENSG00000089101.17,CFAP61,-1.5592854061767436,0.0189098970779071,down
ENSG00000025293.16,PHF20,-0.831192586235612,0.033518399273697416,down
ENSG00000101447.14,FAM83D,-1.4426950408889634,0.9998272739941986,down
ENSG00000157540.19,DYRK1A,-1.4426950408889634,0.9998272739941986,down
ENSG00000168135.4,KCNJ4,-1.818660838012157,1.5459256935289775e-4,down
ENSG00000185386.14,MAPK11,-2.763416470790436,4.138626948489425e-8,down
ENSG00000230926.1,RP11-104D21.2,-3.0556080897180835,4.670239272628609e-6,down
ENSG00000257529.5,RPL36A-HNRNPH2,0.6525329234455045,3.1201142469347364e-4,up
ENSG00000200291.1,Y_RNA,-10.694542628586975,3.806896730792406e-11,down
