UniqueCount	AmbigCount
1	30
0	0
8	304
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
96	62
0	5
0	3
0	7
0	0
0	47
5	0
0	42
0	0
0	3
177	5
5	7
1	88
2	2
0	0
0	0
0	0
6	360
4	45
0	88
2	36
109	86
0	3
0	15
0	5
0	16
5	36
0	16
29	85
0	1
0	1
0	0
0	0
0	14
0	7
3	7
0	0
30	0
0	68
0	9
0	19
0	22
2	9
0	4
0	9
0	30
0	0
0	6
0	1
0	0
0	48
0	28
6	26
0	6
0	1
0	0
0	0
0	0
0	0
0	3
0	5
6	13
0	7
0	8
0	1
16	3902
120	33760
101	169191
0	0
22	1183
19	3
9950	75227
19	3390
0	0
0	2
0	0
68	372
0	0
0	0
0	0
0	5
2	4
0	24
0	24
7	2
0	1
9	1
0	1
0	0
0	0
0	3
0	10
7	10
0	10
0	9
0	2
0	11
8	15
8	0
0	0
12	1
0	1
0	0
0	0
1	0
243	59
0	7
1	11
1	9
0	2
0	1
3	66
0	22
0	6
6	4
3	3
1	1
1	6
42	12
24	15
0	5
0	6
0	3
0	0
0	0
7	3
0	0
183	23
2	14
0	9
55	78
0	25
0	395
0	334
5	391
0	315
8	381
0	374
0	378
0	305
9	389
4	335
1	81
0	1
0	15
0	1
1	5
3	273
150	765
34	686
0	0
0	194
3	4
36	44
1	45
0	1
0	15
6	0
0	36
1	37
1	32
0	0
0	7
0	1
0	1
0	1
37	0
11	73
29	62
3	44
1	25
0	138
0	27
65	138
0	0
0	0
236	3299
1	3299
0	0
0	24
2	95
0	37
0	0
2	17
0	58
30	964
0	25
5	24
0	0
0	24
0	0
2	13
1	17
0	0
986	14
2	194
0	159
0	195
8	213
75	137
3	197
0	186
0	14
0	128
1	77
0	47
0	51
0	11
6	6
0	1
0	1
0	0
2	2
0	0
5	0
0	0
0	0
0	0
12	0
0	0
0	0
0	12
0	12
0	10
0	0
0	0
0	0
3	57
21	83
0	24
0	16
0	0
0	0
0	0
163	1645
1	1172
4	1404
41	617
3	428
1	283
0	165
710	10
0	1
0	1
0	0
0	0
0	0
5	0
3	962
0	957
29	1063
2	637
29	598
0	616
0	523
2	69
0	441
4	332
0	37
0	64
0	102
0	62
8	67
0	5
0	0
0	10
6	46
14	2
0	0
0	0
0	3
0	3
0	1
0	1
0	0
0	1
0	0
0	0
3	190
6	177
0	111
0	120
0	0
0	20
4	24
1	0
11	20
0	12
4	2
0	6
0	0
0	0
92	245
29	40
5	15
10	141
8	114
0	188
0	357
0	352
0	272
0	133
0	372
0	54
0	310
0	272
18	196
0	96
0	230
0	347
0	264
0	215
0	254
0	301
0	49
0	13
0	15
1	205
0	15
0	69
0	60
9	23
0	36
0	54
0	0
0	12
0	85
1	36
0	37
0	62
0	45
0	45
0	0
0	0
0	26
1	82
0	81
34	52
2	23
0	21
0	10
0	3
0	15
0	10
0	1
0	5
2	5
0	0
8	0
5	66
364	88
4	21
7	0
34	1034
45	1008
0	592
0	75
0	153
2	36
0	35
5	51
0	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	2
0	0
0	0
8	1286
151	1273
18	1271
30	1258
12	15
1	12
0	0
29	277
10	320
7	184
10	389
16	683
0	377
0	223
5	491
0	564
0	121
7	253
0	51
1	30
0	40
2	54
0	180
10	15
3	17
0	1
5	9
3	58
15	254
29	251
0	15
0	5
3	241
12	245
0	79
609	899
6	586
36	663
6	5
21	314
0	37
0	1
63	17
0	7
0	7
0	7
0	0
0	0
2	0
0	0
0	1
0	0
0	0
1	1
0	19
1	191
75	210
1	1
6	21
0	0
0	5
11	317
78	295
0	22
71	232
8	121
15	605
0	568
0	600
0	600
2	1
0	53
