UniqueCount	AmbigCount
0	21
0	0
2	141
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
25	25
0	1
0	2
0	0
0	0
0	21
2	0
0	18
0	0
0	3
46	1
0	1
2	39
0	0
0	0
0	0
0	0
5	124
0	20
0	42
1	23
45	36
0	2
0	9
0	2
0	3
1	14
0	8
5	24
0	0
0	2
0	0
0	1
0	8
0	3
1	3
0	0
5	2
0	14
0	2
0	9
0	12
0	3
0	3
0	3
0	1
0	0
0	0
0	1
0	0
0	25
0	8
1	8
0	5
0	4
0	0
0	0
0	1
0	0
1	3
0	1
0	9
0	3
0	2
0	1
4	826
32	8176
22	24619
0	0
0	228
1	0
2113	12473
0	606
0	0
0	2
0	0
33	162
0	0
0	0
0	0
0	8
0	8
0	6
0	6
0	0
0	0
1	0
0	3
0	0
1	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
6	6
0	0
4	0
1	0
0	0
0	0
0	0
0	0
86	19
0	3
1	3
0	3
0	2
0	1
2	23
0	7
0	1
1	2
1	0
1	1
0	0
6	0
2	7
0	4
0	3
0	0
0	0
2	0
17	2
1	2
131	30
0	24
0	6
45	47
0	22
0	291
0	232
2	291
0	242
6	283
0	272
1	265
0	223
0	271
7	252
7	99
0	0
0	37
1	4
0	8
2	404
280	1135
11	1024
0	0
0	342
4	9
16	28
1	26
0	2
1	8
1	0
0	30
4	33
3	29
0	0
2	3
0	1
0	0
1	1
25	0
25	169
17	134
6	117
6	50
0	146
1	44
100	146
0	0
0	0
246	2829
1	2829
1	0
0	37
0	86
1	31
0	0
0	21
0	41
7	701
0	21
1	14
0	2
0	14
0	0
1	5
0	4
2	0
732	15
3	98
0	87
0	96
0	110
18	74
2	97
3	92
0	11
0	58
0	41
0	25
0	27
0	4
1	3
4	1
0	1
0	1
0	2
1	0
0	0
0	0
0	0
0	0
5	0
1	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
6	38
25	46
1	8
2	16
0	0
0	0
0	0
35	977
1	723
0	858
8	408
0	324
2	155
0	112
294	3
0	3
0	0
0	3
0	0
1	0
6	0
0	434
0	439
17	455
0	222
13	248
1	182
0	179
0	19
0	137
0	98
0	12
0	26
0	46
0	32
1	35
0	1
3	5
0	2
2	31
10	2
0	0
0	0
0	2
0	1
0	2
0	2
0	0
0	2
0	0
0	0
5	244
2	226
3	138
0	119
0	1
0	14
0	17
0	1
4	40
0	18
3	3
0	2
0	0
0	0
71	175
12	33
3	17
3	103
7	84
1	130
0	273
0	271
0	182
0	117
0	302
0	44
0	215
0	184
9	148
1	73
0	151
0	266
0	183
0	143
0	188
0	236
0	47
0	26
2	14
1	191
0	31
0	45
0	29
0	12
0	28
0	80
0	0
0	9
0	108
1	47
0	48
0	76
0	56
0	55
0	0
0	0
0	23
1	92
0	59
12	42
2	34
0	17
0	12
0	11
0	7
0	7
0	1
0	1
0	1
0	0
3	1
3	55
185	71
1	14
5	0
19	692
38	695
0	456
0	66
0	102
2	42
0	8
2	44
0	0
0	2
0	2
0	2
0	0
0	2
0	2
0	0
0	0
0	0
0	0
9	900
164	873
19	863
35	847
8	9
0	19
0	0
6	91
0	111
2	69
11	145
4	192
0	106
0	78
0	150
0	149
0	42
1	92
0	21
0	19
0	14
0	12
0	54
2	2
1	12
0	0
0	2
6	39
4	116
12	121
0	2
0	3
0	116
6	103
0	37
170	417
2	203
10	250
6	10
2	215
1	18
0	0
33	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	13
2	129
48	142
1	2
8	17
0	0
0	2
9	175
55	159
0	20
24	98
11	62
28	582
0	570
0	554
0	554
1	0
1	54
0	24
0	0
0	0
2	0
313	962
2	859
2	101
147	28
16	0
0	0
416	6
66	1
0	71
0	74
0	64
0	75
3	68
0	68
0	61
9	5
0	1
1	70
0	7
0	58
0	6
3	1
0	5
0	72
0	43
0	3
0	64
0	53
0	0
0	0
1	56
0	2
0	0
0	0
2	3
0	14
0	18
0	7
0	5
0	5
0	0
0	0
