gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000225630.1,MTND2P28,-0.5325326908645481,0.06076529970838631,down
ENSG00000248527.1,MTATP6P1,-1.8915020014758703,2.5510762928825773e-13,down
ENSG00000187634.11,SAMD11,0.7583547028624059,0.03992508862366141,up
ENSG00000127054.20,INTS11,-0.5658999542046387,0.0014925016212239983,down
ENSG00000008128.22,CDK11A,-0.7769438311016865,0.07065814840291529,down
ENSG00000215790.6,SLC35E2,-0.6610113739506159,0.07913307870480664,down
ENSG00000157870.14,FAM213B,0.6087189403481493,0.08896711675348039,up
ENSG00000178585.14,CTNNBIP1,0.5117498794131187,0.0726404951177077,up
ENSG00000198793.12,MTOR,-0.5285879247975741,6.574127152305302e-5,down
ENSG00000132879.13,FBXO44,0.5270310191403003,0.10923165717426127,up
ENSG00000116670.14,MAD2L2,0.5531169356348372,0.012508656805361992,up
ENSG00000055070.16,SZRD1,-0.5166721103103409,5.360856608501556e-4,down
ENSG00000080947.14,CROCCP3,3.5588220431206192,0.014659659150989272,up
ENSG00000219481.10,NBPF1,-0.8216277081553802,1.4107432344421286e-4,down
ENSG00000117122.13,MFAP2,0.7470144770369865,7.223957800352617e-4,up
ENSG00000162545.5,CAMK2N1,1.0788879705016976,1.6236473340809288e-4,up
ENSG00000169641.13,LUZP1,-0.6790889779926034,0.023326752759756205,down
ENSG00000117318.8,ID3,1.180459402413674,1.4725096410576118e-8,up
ENSG00000162430.16,SELENON,0.5091394288334684,0.11511373680205188,up
ENSG00000130695.14,CEP85,-0.8307547338567456,0.0019478554748368587,down
ENSG00000090020.10,SLC9A1,0.7261258012994272,3.3542968152603514e-4,up
ENSG00000214973.3,CHCHD3P3,0.818049234102368,1.3735050137077575e-5,up
ENSG00000117758.13,STX12,0.5190611158163017,0.013301407985332945,up
ENSG00000214812.3,RP5-1053E7.3,0.6185855108700097,8.761820283734665e-5,up
ENSG00000242125.3,SNHG3,-2.024729128648973,4.23973912346807e-14,down
ENSG00000197989.13,SNHG12,-1.918576921168662,1.2689782700301937e-20,down
ENSG00000184007.18,PTP4A2,0.7065564891337578,1.1137110065206718e-7,up
ENSG00000121774.17,KHDRBS1,-0.5045045887035264,2.93757584052882e-4,down
ENSG00000175130.6,MARCKSL1,1.0711537960646904,1.0316546117399145e-7,up
ENSG00000092847.11,AGO1,0.5141471393361087,0.08142561848824346,up
ENSG00000054116.11,TRAPPC3,0.7694384910650951,8.595325825599957e-5,up
ENSG00000181817.5,LSM10,0.594903589684844,0.001156078734736598,up
ENSG00000116954.7,RRAGC,-0.8613101659138105,0.06616737324564852,down
ENSG00000127603.23,MACF1,-0.7466002336716299,5.488203823548791e-7,down
ENSG00000090621.13,PABPC4,-1.2397892622653968,3.3006301826563624e-19,down
ENSG00000127125.8,PPCS,0.6869182089527671,0.005836732236008718,up
ENSG00000132780.16,NASP,0.5340359218300351,2.975163065286328e-7,up
ENSG00000117862.11,TXNDC12,0.8678753350798836,1.5583412300252696e-8,up
ENSG00000157077.14,ZFYVE9,0.5627667306021249,0.058612301301314354,up
ENSG00000154222.14,CC2D1B,-0.6850180277473051,0.0014648805768737525,down
ENSG00000157216.15,SSBP3,0.7685448623250688,3.3969954214507563e-4,up
ENSG00000177606.6,JUN,-0.9981526337728962,7.798963416462719e-8,down
ENSG00000116704.7,SLC35D1,1.439446776391259,8.079784049228529e-5,up
ENSG00000142864.14,SERBP1,-0.5183628756188687,2.744350604286877e-12,down
ENSG00000172380.5,GNG12,0.5319684280126774,0.05622712973055604,up
ENSG00000137955.15,RABGGTB,-0.5772343543391266,3.457132978424348e-4,down
ENSG00000142871.16,CYR61,-0.7576426032464723,4.5875906612704437e-7,down
ENSG00000117174.10,ZNHIT6,-0.5401030653008699,4.25088606300477e-4,down
ENSG00000122417.15,ODF2L,0.5495077636748406,0.09679233921936341,up
ENSG00000267561.2,RP5-1052I5.2,1.0056831032633355,0.05915251041973604,up
ENSG00000197147.13,LRRC8B,-0.6074623027916727,0.09446194327230081,down
ENSG00000162664.16,ZNF326,-0.5414381832576171,8.843199396624596e-4,down
ENSG00000238122.1,RP11-483I13.2,-0.6843793423490424,0.02053105418578098,down
ENSG00000238118.1,SLC25A24P2,-1.1647732508420368,4.325557762287073e-5,down
ENSG00000134186.11,PRPF38B,-0.6139582452479362,3.655563040029841e-7,down
ENSG00000197780.9,TAF13,-0.6517807724910761,1.1956265546096757e-4,down
ENSG00000116299.16,KIAA1324,-1.1619203397148485,1.6306747217212149e-6,down
ENSG00000168765.16,GSTM4,0.5264379246841694,0.001609323423569501,up
ENSG00000116793.15,PHTF1,1.2392101792929409,9.067345654868132e-7,up
ENSG00000213281.4,NRAS,0.6759638639463661,8.205186160846464e-10,up
ENSG00000183508.4,FAM46C,-0.632264172692072,0.08969334023214048,down
ENSG00000273136.6,NBPF26,1.0229767416774136,5.327099370748528e-7,up
ENSG00000174827.13,PDZK1,-0.5108913187310248,0.11890948246468465,down
ENSG00000186141.8,POLR3C,-1.109595374317909,8.901459487978889e-17,down
ENSG00000265972.5,TXNIP,-2.331232279748643,1.2826136871258823e-59,down
ENSG00000277406.1,CH17-385C13.2,7.2920220390004165,1.713819793132626e-5,up
ENSG00000268043.7,NBPF12,-1.0736267873832988,0.011311882350028198,down
ENSG00000116128.10,BCL9,0.7333195880809682,0.0027878758924808284,up
ENSG00000244211.3,PDZK1P1,-1.4391542472945202,1.1222686454938264e-7,down
ENSG00000274423.1,RP11-544O24.2,0.5014209755812197,1.565295521406675e-4,up
ENSG00000220323.3,HIST2H2BD,0.5191819430424923,0.0021156016146632517,up
ENSG00000203819.6,HIST2H2BC,2.694555443366019,0.0012543296220242366,up
ENSG00000272196.2,HIST2H2AA4,-1.7590518032784246,0.007543537457096678,down
ENSG00000264207.1,RP11-196G18.23,1.4142487246169304,9.122381468114772e-7,up
ENSG00000023902.13,PLEKHO1,0.545518636638326,0.060688950611446135,up
ENSG00000159208.15,CIART,-0.813757438268942,0.010025370705231476,down
ENSG00000163125.15,RPRD2,0.6210666903807135,4.2812595146556124e-4,up
ENSG00000143373.17,ZNF687,0.5406141051435469,0.005261967064253894,up
ENSG00000143375.14,CGN,-0.7866408673420882,4.476277763172498e-5,down
ENSG00000163191.5,S100A11,0.7939401421016796,1.6337644670913883e-9,up
ENSG00000159450.12,TCHH,-1.936833605650898,1.941278957611633e-10,down
ENSG00000188643.10,S100A16,0.5421299786257089,0.005590895600858314,up
ENSG00000160685.13,ZBTB7B,-0.5562442895424748,0.00609981721641851,down
ENSG00000185499.16,MUC1,-0.8247886413578732,0.009520622152001878,down
ENSG00000160766.14,GBAP1,-0.5712679600436982,9.854926196265457e-4,down
ENSG00000177628.15,GBA,0.6029176628906897,2.1148602420010393e-4,up
ENSG00000116539.12,ASH1L,-0.6268862884955911,0.0017843355811424384,down
ENSG00000116580.18,GON4L,-0.5294103732252157,0.00804328735507047,down
ENSG00000160789.19,LMNA,-0.7390937598718916,3.117974732076939e-7,down
ENSG00000125462.16,C1orf61,-0.6381267700779792,0.059085473220724924,down
ENSG00000132688.10,NES,1.208669054521785,0.014647635582305666,up
ENSG00000143321.18,HDGF,0.9116208368784807,3.485077344155738e-30,up
ENSG00000122218.14,COPA,-0.5840808013569787,3.607629158050656e-5,down
ENSG00000198929.12,NOS1AP,-1.1700502072764305,6.670652439921618e-6,down
ENSG00000239887.4,C1orf226,-1.2319036312653484,0.006249835572288979,down
ENSG00000152332.15,UHMK1,0.5040319732105137,0.011284881523252927,up
ENSG00000143164.15,DCAF6,1.0551708104401802,3.717101263704453e-9,up
ENSG00000117475.13,BLZF1,-0.8117872633388467,3.3574744889049174e-4,down
ENSG00000117479.12,SLC19A2,-0.729779730428209,0.019519258233756876,down
ENSG00000234604.2,RP1-206D15.5,-1.0263962477662028,5.901662396015281e-7,down
ENSG00000094975.13,SUCO,0.6046543345607653,8.952927284580587e-4,up
ENSG00000234741.7,GAS5,-0.7313047691124429,5.5034880223006546e-14,down
ENSG00000198797.6,BRINP2,-0.9276657696616776,0.0015715969807376855,down
ENSG00000169905.12,TOR1AIP2,0.5498647083298492,7.854901388103603e-5,up
ENSG00000135835.11,KIAA1614,-1.8414827246911982,0.0015620639294900663,down
ENSG00000135829.16,DHX9,-0.7811504887712037,1.2462143165260577e-6,down
ENSG00000047410.13,TPR,-0.6728173754516782,7.104201410373925e-7,down
ENSG00000233410.1,LINC01222,-0.8121435113322281,0.02563606652232366,down
ENSG00000116833.13,NR5A2,-0.6080942809593924,0.09427214705657512,down
ENSG00000162702.7,ZNF281,-0.6456821701640958,1.1840434074353171e-4,down
ENSG00000118193.11,KIF14,0.690274898700046,0.001147787735021744,up
ENSG00000116857.16,TMEM9,0.6725053312025263,1.5527958141394174e-11,up
ENSG00000174307.6,PHLDA3,-0.5140209152810975,0.0018321599155804865,down
ENSG00000163435.15,ELF3,-0.7734589803826019,6.594737517460457e-18,down
ENSG00000163444.11,TMEM183A,1.0521876947595783,6.502900445803492e-17,up
ENSG00000159388.5,BTG2,-0.9075319539457962,0.001454904649707582,down
ENSG00000143845.14,ETNK2,1.0614305224776914,0.026017684607400397,up
ENSG00000133069.15,TMCC2,1.646211077277826,6.883324312045335e-4,up
ENSG00000117266.15,CDK18,0.5741223769986348,0.040669801705350075,up
ENSG00000224114.1,RP11-343H5.4,-1.4913885174189339,1.9892028343808784e-25,down
ENSG00000180667.10,YOD1,4.195358159512222,0.0015628154616340486,up
ENSG00000082497.11,SERTAD4,0.9462176351318382,0.04391693083481228,up
ENSG00000123684.12,LPGAT1,1.342901742647706,7.258027954227765e-7,up
ENSG00000228247.1,UBBP2,0.7459707938841142,0.07509421564631673,up
ENSG00000118873.15,RAB3GAP2,-0.5837038362030803,0.005122075823516991,down
ENSG00000162923.14,WDR26,0.6310138246290614,8.156456078411173e-5,up
ENSG00000143815.14,LBR,0.5491127288775621,1.1712341578564864e-4,up
ENSG00000143742.12,SRP9,0.715516470577641,5.108690774061777e-7,up
ENSG00000143751.9,SDE2,-0.6201323301912035,2.353960604917102e-4,down
ENSG00000135801.9,TAF5L,0.5709008641569411,0.06263967159384126,up
ENSG00000054267.21,ARID4B,-0.5254560954203459,7.922871231961126e-4,down
ENSG00000153187.18,HNRNPU,-0.5892996114176313,1.2254672626977763e-5,down
ENSG00000153207.14,AHCTF1,-0.6382090125933036,5.288952308264437e-5,down
ENSG00000115738.9,ID2,0.6082594397767654,0.0269555062192478,up
